UID,university,TID,Tuition and fees,CID,RID,year,RO_ID,rank_display,student_faculty_ratio,SID,GRE_ID,GRE Score,IELTS,Toefl,GPA,link
10015,Yale University,Type1,35398,CU1,R1,2022,RA_RO1,14,2,S1,GRE4,335,8,101,3.3,https://www.topuniversities.com/universities/yale-university
10016,The University of Edinburgh,Type2,57915,CU2,R2,2022,RA_RO1,16,7,S4,GRE2,0,9,103,3.2,https://www.topuniversities.com/universities/university-edinburgh
10017,Tsinghua University,Type2,44962,CU5,R3,2022,RA_RO1,17,6,S4,GRE2,0,9,100,3.3,https://www.topuniversities.com/universities/tsinghua-university
10018,Peking University,Type2,61830,CU5,R3,2022,RA_RO1,18,6,S4,GRE2,0,6.5,105,2.8,https://www.topuniversities.com/universities/peking-university
10019,Columbia University,Type1,48057,CU1,R1,2022,RA_RO1,19,4,S2,GRE3,327,6.5,99,2.9,https://www.topuniversities.com/universities/columbia-university
10020,Princeton University,Type1,35570,CU1,R1,2022,RA_RO1,20,8,S1,GRE3,292,6.5,93,2.7,https://www.topuniversities.com/universities/princeton-university
10021,Cornell University,Type1,60956,CU1,R1,2022,RA_RO1,21,8,S2,GRE3,321,6.5,97,2.7,https://www.topuniversities.com/universities/cornell-university
10022,The University of Hong Kong,Type2,35963,CU6,R3,2022,RA_RO1,22,7,S2,GRE2,0,7,115,3.1,https://www.topuniversities.com/universities/university-hong-kong
10023,The University of Tokyo,Type2,53802,CU7,R3,2022,RA_RO1,23,6,S2,GRE2,0,7.5,113,2.5,https://www.topuniversities.com/universities/university-tokyo
10024,University of Michigan-Ann Arbor,Type2,35600,CU1,R1,2022,RA_RO1,23,6,S4,GRE3,313,8.5,113,2.8,https://www.topuniversities.com/universities/university-michigan-ann-arbor
10025,Johns Hopkins University,Type1,50650,CU1,R1,2022,RA_RO1,25,3,S2,GRE4,303,8,91,2.8,https://www.topuniversities.com/universities/johns-hopkins-university
10026,University of Toronto,Type2,43642,CU8,R1,2022,RA_RO2,26,8,S4,GRE2,0,6.5,111,2.9,https://www.topuniversities.com/universities/university-toronto
10027,McGill University,Type2,39759,CU8,R1,2022,RA_RO1,27,7,S2,GRE2,0,7,102,3.2,https://www.topuniversities.com/universities/mcgill-university
10028,The Australian National University,Type2,58490,CU9,R4,2022,RA_RO1,27,9,S2,GRE2,0,7.5,93,2.5,https://www.topuniversities.com/universities/australian-national-university
10029,The University of Manchester,Type2,69018,CU2,R2,2022,RA_RO1,27,8,S4,GRE2,0,9,114,2.7,https://www.topuniversities.com/universities/university-manchester
10030,Northwestern University,Type1,37686,CU1,R1,2022,RA_RO1,30,5,S2,GRE1,0,6.5,104,2.5,https://www.topuniversities.com/universities/northwestern-university
10031,Fudan University,Type2,43551,CU5,R3,2022,RA_RO1,31,6,S2,GRE2,0,6.5,102,2.5,https://www.topuniversities.com/universities/fudan-university
10032,"University of California, Berkeley (UCB)",Type2,46862,CU1,R1,2022,RA_RO1,32,11,S4,GRE4,328,7,101,2.9,https://www.topuniversities.com/universities/university-california-berkeley-ucb
10033,Kyoto University,Type2,30689,CU7,R3,2022,RA_RO1,33,6,S2,GRE2,0,8,111,3.1,https://www.topuniversities.com/universities/kyoto-university
10034,The Hong Kong University of Science and Technology,Type2,44094,CU6,R3,2022,RA_RO1,34,8,S1,GRE2,0,7.5,97,3,https://www.topuniversities.com/universities/hong-kong-university-science-technology
10035,King's College London,Type2,39528,CU2,R2,2022,RA_RO1,35,7,S2,GRE2,0,7,106,2.8,https://www.topuniversities.com/universities/kings-college-london
10036,Seoul National University,Type2,34323,CU10,R3,2022,RA_RO1,36,7,S2,GRE2,0,7.5,102,2.5,https://www.topuniversities.com/universities/seoul-national-university
10037,The University of Melbourne,Type2,51248,CU9,R4,2022,RA_RO2,37,19,S3,GRE2,0,7,103,3.3,https://www.topuniversities.com/universities/university-melbourne
10038,The University of Sydney,Type2,30747,CU9,R4,2022,RA_RO1,38,13,S4,GRE2,0,8.5,104,2.7,https://www.topuniversities.com/universities/university-sydney
10039,The Chinese University of Hong Kong (CUHK),Type2,43189,CU6,R3,2022,RA_RO1,39,8,S2,GRE2,0,9,110,3.2,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk
10040,"University of California, Los Angeles (UCLA)",Type2,63090,CU1,R1,2022,RA_RO1,40,10,S4,GRE1,0,6,109,3.4,https://www.topuniversities.com/universities/university-california-los-angeles-ucla
10041,KAIST - Korea Advanced Institute of Science & Technology,Type2,61146,CU10,R3,2022,RA_RO1,41,8,S1,GRE2,0,8.5,109,2.9,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology
10042,New York University (NYU),Type1,49200,CU1,R1,2022,RA_RO1,42,6,S4,GRE3,302,7.5,99,3.4,https://www.topuniversities.com/universities/new-york-university-nyu
10043,The University of New South Wales (UNSW Sydney),Type2,32484,CU9,R4,2022,RA_RO1,43,14,S4,GRE2,0,7,110,2.5,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney
10044,Université PSL,Type2,50741,CU11,R2,2022,RA_RO1,44,5,S2,GRE2,0,6.5,103,3,https://www.topuniversities.com/universities/universite-psl
10045,Zhejiang University,Type2,42569,CU5,R3,2022,RA_RO1,45,7,S4,GRE2,0,8,115,2.6,https://www.topuniversities.com/universities/zhejiang-university
10046,University of British Columbia,Type2,30736,CU8,R1,2022,RA_RO1,46,9,S4,GRE2,0,6.5,115,3.3,https://www.topuniversities.com/universities/university-british-columbia
10047,The University of Queensland,Type2,59733,CU9,R4,2022,RA_RO1,47,12,S4,GRE2,0,7.5,97,2.8,https://www.topuniversities.com/universities/university-queensland
10048,"University of California, San Diego (UCSD)",Type2,42345,CU1,R1,2022,RA_RO1,48,8,S4,GRE3,293,8,91,3.2,https://www.topuniversities.com/universities/university-california-san-diego-ucsd
10049,Institut Polytechnique de Paris,Type2,69555,CU11,R2,2022,RA_RO1,49,6,S1,GRE2,0,7.5,117,3.1,https://www.topuniversities.com/universities/institut-polytechnique-de-paris
10050,The London School of Economics and Political Science (LSE),Type2,31146,CU2,R2,2022,RA_RO1,49,10,S1,GRE2,0,7,94,2.8,https://www.topuniversities.com/universities/london-school-economics-political-science-lse
10051,Shanghai Jiao Tong University,Type2,67864,CU5,R3,2022,RA_RO1,50,9,S4,GRE2,0,9,102,2.5,https://www.topuniversities.com/universities/shanghai-jiao-tong-university
10052,Technical University of Munich,Type2,59222,CU12,R2,2022,RA_RO1,50,5,S4,GRE2,0,8.5,93,3.1,https://www.topuniversities.com/universities/technical-university-munich
10053,Duke University,Type1,63711,CU1,R1,2022,RA_RO1,52,3,S2,GRE1,0,6,92,2.7,https://www.topuniversities.com/universities/duke-university
10054,Carnegie Mellon University,Type1,54585,CU1,R1,2022,RA_RO1,53,9,S2,GRE1,0,7,91,3.3,https://www.topuniversities.com/universities/carnegie-mellon-university
10055,City University of Hong Kong,Type2,29407,CU6,R3,2022,RA_RO1,53,6,S1,GRE2,0,7.5,90,2.5,https://www.topuniversities.com/universities/city-university-hong-kong
10056,University of Amsterdam,Type2,34528,CU13,R2,2022,RA_RO1,55,11,S4,GRE2,0,8,103,2.9,https://www.topuniversities.com/universities/university-amsterdam
10057,Tokyo Institute of Technology (Tokyo Tech),Type2,63247,CU7,R3,2022,RA_RO1,56,7,S1,GRE2,0,7.5,109,3,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech
10058,Delft University of Technology,Type2,39881,CU13,R2,2022,RA_RO1,57,10,S2,GRE2,0,9,116,3.4,https://www.topuniversities.com/universities/delft-university-technology
10059,Monash University,Type2,30156,CU9,R4,2022,RA_RO1,58,15,S4,GRE2,0,8,115,2.6,https://www.topuniversities.com/universities/monash-university
10060,Brown University,Type1,27301,CU1,R1,2022,RA_RO1,60,7,S1,GRE4,303,8.5,97,3.4,https://www.topuniversities.com/universities/brown-university
10061,The University of Warwick,Type2,47416,CU2,R2,2022,RA_RO1,61,9,S2,GRE2,0,8,106,3.4,https://www.topuniversities.com/universities/university-warwick
10062,University of Bristol,Type2,34964,CU2,R2,2022,RA_RO1,62,8,S2,GRE2,0,6,97,2.8,https://www.topuniversities.com/universities/university-bristol
10063,Ruprecht-Karls-Universität Heidelberg,Type2,57836,CU12,R2,2022,RA_RO1,63,5,S2,GRE2,0,8,101,3.1,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg
10064,Ludwig-Maximilians-Universität München,Type2,61221,CU12,R2,2022,RA_RO1,64,9,S4,GRE2,0,7,102,3.4,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen
10065,Universiti Malaya (UM),Type2,61507,CU14,R3,2022,RA_RO1,65,8,S2,GRE2,0,8.5,109,3,https://www.topuniversities.com/universities/universiti-malaya-um
10066,The Hong Kong Polytechnic University,Type2,48117,CU6,R3,2022,RA_RO1,66,7,S2,GRE2,0,6.5,91,2.5,https://www.topuniversities.com/universities/hong-kong-polytechnic-university
10067,University of Texas at Austin,Type2,30303,CU1,R1,2022,RA_RO1,67,17,S4,GRE3,330,8,110,2.6,https://www.topuniversities.com/universities/university-texas-austin
10068,National Taiwan University (NTU),Type2,25836,CU15,R3,2022,RA_RO1,68,10,S2,GRE2,0,9,112,3,https://www.topuniversities.com/universities/national-taiwan-university-ntu
10069,Universidad de Buenos Aires (UBA),Type2,47701,CU16,R5,2022,RA_RO1,69,7,S4,GRE2,0,7,92,2.7,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba
10070,KU Leuven,Type2,31256,CU17,R2,2022,RA_RO1,70,18,S4,GRE2,0,9,98,3.4,https://www.topuniversities.com/universities/ku-leuven
10071,University of Zurich,Type2,40916,CU3,R2,2022,RA_RO1,70,6,S2,GRE2,0,6.5,117,2.9,https://www.topuniversities.com/universities/university-zurich
10072,Sorbonne University,Type2,35635,CU11,R2,2022,RA_RO1,72,9,S4,GRE2,0,8,98,2.9,https://www.topuniversities.com/universities/sorbonne-university
10073,University of Glasgow,Type2,67824,CU2,R2,2022,RA_RO1,73,9,S2,GRE2,0,8.5,111,2.6,https://www.topuniversities.com/universities/university-glasgow
10074,Korea University,Type1,67977,CU10,R3,2022,RA_RO1,74,6,S2,GRE2,0,7.5,90,3.2,https://www.topuniversities.com/universities/korea-university
10075,Osaka University,Type2,35715,CU7,R3,2022,RA_RO1,75,7,S2,GRE2,0,6.5,117,2.5,https://www.topuniversities.com/universities/osaka-university
10076,University of Wisconsin-Madison,Type2,28689,CU1,R1,2022,RA_RO1,75,8,S4,GRE3,292,9,91,2.9,https://www.topuniversities.com/universities/university-wisconsin-madison
10077,University of Southampton,Type2,55887,CU2,R2,2022,RA_RO1,77,9,S2,GRE2,0,6.5,107,3.4,https://www.topuniversities.com/universities/university-southampton
10078,Lomonosov Moscow State University,Type2,61261,CU18,R2,2022,RA_RO1,78,5,S4,GRE2,0,8,115,3,https://www.topuniversities.com/universities/lomonosov-moscow-state-university
10079,University of Copenhagen,Type2,59764,CU19,R2,2022,RA_RO1,79,4,S4,GRE2,0,7.5,95,2.6,https://www.topuniversities.com/universities/university-copenhagen
10080,Yonsei University,Type1,67617,CU10,R3,2022,RA_RO1,79,6,S2,GRE2,0,6.5,109,3.4,https://www.topuniversities.com/universities/yonsei-university
10081,Pohang University of Science And Technology (POSTECH),Type1,39529,CU10,R3,2022,RA_RO1,81,4,S3,GRE2,0,6,110,2.5,https://www.topuniversities.com/universities/pohang-university-science-technology-postech
10082,Durham University,Type2,47338,CU2,R2,2022,RA_RO1,82,11,S2,GRE2,0,8.5,94,2.5,https://www.topuniversities.com/universities/durham-university
10083,Tohoku University,Type2,47307,CU7,R3,2022,RA_RO1,82,5,S2,GRE2,0,7,92,2.5,https://www.topuniversities.com/universities/tohoku-university
10084,University of Illinois at Urbana-Champaign,Type2,52017,CU1,R1,2022,RA_RO1,82,17,S4,GRE4,299,7.5,104,2.8,https://www.topuniversities.com/universities/university-illinois-urbana-champaign
10085,The University of Auckland,Type2,50767,CU20,R4,2022,RA_RO1,85,12,S2,GRE2,0,6,106,3.2,https://www.topuniversities.com/universities/university-auckland
10086,University of Washington,Type2,58775,CU1,R1,2022,RA_RO1,85,15,S4,GRE1,0,6,93,2.9,https://www.topuniversities.com/universities/university-washington
10087,Université Paris-Saclay,Type2,38617,CU11,R2,2022,RA_RO1,86,5,S4,GRE2,0,7.5,117,3.1,https://www.topuniversities.com/universities/universite-paris-saclay
10088,Lund University,Type2,42787,CU21,R2,2022,RA_RO1,87,9,S2,GRE2,0,7,109,3.3,https://www.topuniversities.com/universities/lund-university
10089,Georgia Institute of Technology,Type2,43115,CU1,R1,2022,RA_RO1,88,19,S2,GRE3,309,7.5,106,3.3,https://www.topuniversities.com/universities/georgia-institute-technology
10090,KTH Royal Institute of Technology ,Type2,36725,CU21,R2,2022,RA_RO1,89,8,S2,GRE2,0,7,99,2.7,https://www.topuniversities.com/universities/kth-royal-institute-technology
10091,University of Birmingham,Type2,35033,CU2,R2,2022,RA_RO1,90,9,S4,GRE2,0,8,111,3.1,https://www.topuniversities.com/universities/university-birmingham
10092,University of St Andrews,Type2,25334,CU2,R2,2022,RA_RO1,91,8,S1,GRE2,0,6,107,2.7,https://www.topuniversities.com/universities/university-st-andrews
10093,University of Leeds,Type2,45975,CU2,R2,2022,RA_RO1,92,10,S4,GRE2,0,8.5,96,2.6,https://www.topuniversities.com/universities/university-leeds
10094,The University of Western Australia,Type2,53623,CU9,R4,2022,RA_RO1,93,12,S2,GRE2,0,7,106,3.1,https://www.topuniversities.com/universities/university-western-australia
10095,Rice University,Type1,40256,CU1,R1,2022,RA_RO1,94,7,S1,GRE4,294,7.5,104,2.7,https://www.topuniversities.com/universities/rice-university
10096,The University of Sheffield,Type2,69918,CU2,R2,2022,RA_RO1,95,8,S2,GRE2,0,8.5,93,3.2,https://www.topuniversities.com/universities/university-sheffield
10097,Pennsylvania State University,Type2,26466,CU1,R1,2022,RA_RO1,96,11,S4,GRE1,0,6,94,2.5,https://www.topuniversities.com/universities/pennsylvania-state-university
10098,Sungkyunkwan University (SKKU),Type1,48364,CU10,R3,2022,RA_RO1,97,7,S2,GRE2,0,9,103,3.3,https://www.topuniversities.com/universities/sungkyunkwan-universityskku
10099,University of Science and Technology of China,Type2,30730,CU5,R3,2022,RA_RO1,98,7,S2,GRE2,0,6,106,3.4,https://www.topuniversities.com/universities/university-science-technology-china
100100,Technical University of Denmark,Type2,39282,CU19,R2,2022,RA_RO1,99,4,S1,GRE2,0,7.5,91,3.3,https://www.topuniversities.com/universities/technical-university-denmark
100101,"University of North Carolina, Chapel Hill",Type2,31519,CU1,R1,2022,RA_RO1,100,7,S4,GRE3,314,9,101,2.7,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill
100102,"Trinity College Dublin, The University of Dublin",Type2,37068,CU22,R2,2022,RA_RO1,101,12,S2,GRE2,0,7,91,3.1,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin
100103,University of Oslo,Type2,57221,CU23,R2,2022,RA_RO1,102,7,S2,GRE2,0,6.5,101,2.9,https://www.topuniversities.com/universities/university-oslo
100104,University of Nottingham,Type2,26535,CU2,R2,2022,RA_RO1,103,10,S4,GRE2,0,6.5,111,2.7,https://www.topuniversities.com/universities/university-nottingham
100105,University of Helsinki,Type2,61358,CU24,R2,2022,RA_RO1,104,8,S2,GRE2,0,6,105,2.6,https://www.topuniversities.com/universities/university-helsinki
100106,Universidad Nacional Autónoma de México  (UNAM),Type2,66603,CU25,R5,2022,RA_RO1,105,9,S4,GRE2,0,6,107,3.2,https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam
100107,University of Geneva,Type2,49183,CU3,R2,2022,RA_RO1,105,9,S2,GRE2,0,8.5,101,2.5,https://www.topuniversities.com/universities/university-geneva
100108,Washington University in St. Louis,Type1,25570,CU1,R1,2022,RA_RO1,107,5,S2,GRE4,309,8.5,97,2.7,https://www.topuniversities.com/universities/washington-university-st-louis
100109,The University of Adelaide,Type2,63184,CU9,R4,2022,RA_RO1,108,13,S2,GRE2,0,8,91,2.9,https://www.topuniversities.com/universities/university-adelaide
100110,"University of California, Davis",Type2,43577,CU1,R1,2022,RA_RO1,108,10,S4,GRE4,292,7.5,113,3.3,https://www.topuniversities.com/universities/university-california-davis
100111,King Abdulaziz University (KAU),Type2,38155,CU26,R3,2022,RA_RO1,109,8,S4,GRE2,0,6,91,3.4,https://www.topuniversities.com/universities/king-abdulaziz-university-kau
100112,Utrecht University,Type2,55142,CU13,R2,2022,RA_RO1,110,10,S4,GRE2,0,8,90,3.4,https://www.topuniversities.com/universities/utrecht-university
100113,Université de Montréal ,Type2,36186,CU8,R1,2022,RA_RO1,111,7,S4,GRE2,0,7,108,3,https://www.topuniversities.com/universities/universite-de-montreal
100114,Aalto University,Type2,27219,CU24,R2,2022,RA_RO1,112,9,S2,GRE2,0,8,117,2.8,https://www.topuniversities.com/universities/aalto-university
100115,Boston University,Type1,40969,CU1,R1,2022,RA_RO1,112,10,S2,GRE4,325,9,108,3.2,https://www.topuniversities.com/universities/boston-university
100116,Leiden University,Type2,42511,CU13,R2,2022,RA_RO1,112,12,S4,GRE2,0,6.5,100,2.9,https://www.topuniversities.com/universities/leiden-university
100117,University of Southern California,Type1,52889,CU1,R1,2022,RA_RO1,112,10,S4,GRE1,0,8.5,116,2.7,https://www.topuniversities.com/universities/university-southern-california
100118,Purdue University,Type2,54777,CU1,R1,2022,RA_RO1,116,15,S4,GRE4,317,9,93,2.8,https://www.topuniversities.com/universities/purdue-university
100119,Queen Mary University of London,Type2,69762,CU2,R2,2022,RA_RO1,117,9,S2,GRE2,0,6.5,108,2.7,https://www.topuniversities.com/universities/queen-mary-university-london
100120,Nagoya University,Type2,48155,CU7,R3,2022,RA_RO1,118,6,S2,GRE2,0,8.5,91,3.3,https://www.topuniversities.com/universities/nagoya-university
100121,University of Bern,Type2,68184,CU3,R2,2022,RA_RO1,119,8,S1,GRE2,0,7,101,2.5,https://www.topuniversities.com/universities/university-bern
100122,The Ohio State University,Type2,64387,CU1,R1,2022,RA_RO1,120,9,S4,GRE4,304,6.5,92,3,https://www.topuniversities.com/universities/ohio-state-university
100123,Chalmers University of Technology,Type1,48970,CU21,R2,2022,RA_RO1,121,8,S1,GRE2,0,9,107,2.8,https://www.topuniversities.com/universities/chalmers-university-technology
100124,Universidade de São Paulo,Type2,27236,CU27,R5,2022,RA_RO1,121,13,S4,GRE2,0,6.5,115,2.5,https://www.topuniversities.com/universities/universidade-de-sao-paulo
100125,Wageningen University & Research,Type2,40938,CU13,R2,2022,RA_RO1,123,5,S2,GRE2,0,7.5,116,3.1,https://www.topuniversities.com/universities/wageningen-university-research
100126,Uppsala University,Type2,69276,CU21,R2,2022,RA_RO1,124,10,S2,GRE2,0,8,109,2.8,https://www.topuniversities.com/universities/uppsala-university
100127,Eindhoven University of Technology,Type2,68037,CU13,R2,2022,RA_RO1,125,9,S1,GRE2,0,8,97,2.7,https://www.topuniversities.com/universities/eindhoven-university-technology
100128,University of Alberta,Type2,29679,CU8,R1,2022,RA_RO1,126,9,S4,GRE2,0,7.5,105,2.9,https://www.topuniversities.com/universities/university-alberta
100129,Freie Universitaet Berlin,Type2,42051,CU12,R2,2022,RA_RO1,127,25,S4,GRE2,0,7.5,100,3.2,https://www.topuniversities.com/universities/freie-universitaet-berlin
100130,Humboldt-Universität zu Berlin,Type2,66603,CU12,R2,2022,RA_RO1,128,17,S4,GRE2,0,9,112,3.1,https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin
100131,University of Groningen,Type2,32994,CU13,R2,2022,RA_RO1,128,8,S4,GRE2,0,8.5,95,2.7,https://www.topuniversities.com/universities/university-groningen
100132,École Normale Supérieure de Lyon,Type2,59216,CU11,R2,2022,RA_RO1,130,5,S3,GRE2,0,7,108,3.4,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon
100133,Nanjing University,Type2,54257,CU5,R3,2022,RA_RO1,131,11,S4,GRE2,0,7.5,97,2.6,https://www.topuniversities.com/universities/nanjing-university
100134,Lancaster University,Type2,48545,CU2,R2,2022,RA_RO1,132,10,S2,GRE2,0,9,95,2.8,https://www.topuniversities.com/universities/lancaster-university
100135,University of Technology Sydney,Type2,38586,CU9,R4,2022,RA_RO1,133,16,S2,GRE2,0,8.5,103,3.4,https://www.topuniversities.com/universities/university-technology-sydney
100136,Newcastle University,Type2,36125,CU2,R2,2022,RA_RO1,134,10,S2,GRE2,0,9,107,3,https://www.topuniversities.com/universities/newcastle-university
100137,Pontificia Universidad Católica de Chile (UC),Type1,58404,CU28,R5,2022,RA_RO1,135,12,S2,GRE2,0,9,90,3.4,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc
100138,"KIT, Karlsruhe Institute of Technology",Type2,64644,CU12,R2,2022,RA_RO1,136,10,S2,GRE2,0,6,107,3.4,https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology
100139,Kyushu University,Type2,42047,CU7,R3,2022,RA_RO1,137,7,S2,GRE2,0,6,108,3,https://www.topuniversities.com/universities/kyushu-university
100140,University of Basel,Type2,42754,CU3,R2,2022,RA_RO1,138,9,S1,GRE2,0,8,111,3.1,https://www.topuniversities.com/universities/university-basel
100141,McMaster University,Type2,68648,CU8,R1,2022,RA_RO1,140,7,S2,GRE2,0,6.5,111,3,https://www.topuniversities.com/universities/mcmaster-university
100142,Ghent University,Type2,56287,CU17,R2,2022,RA_RO1,141,7,S4,GRE2,0,9,107,2.7,https://www.topuniversities.com/universities/ghent-university
100143,Politecnico di Milano,Type2,35292,CU29,R2,2022,RA_RO1,142,21,S4,GRE2,0,6.5,101,3.3,https://www.topuniversities.com/universities/politecnico-di-milano
100144,Universiti Putra Malaysia (UPM),Type2,56610,CU14,R3,2022,RA_RO1,143,8,S2,GRE2,0,9,100,3,https://www.topuniversities.com/universities/universiti-putra-malaysia-upm
100145,Universiti Kebangsaan Malaysia (UKM),Type2,27376,CU14,R3,2022,RA_RO1,144,6,S2,GRE2,0,8.5,112,3.4,https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm
100146,Hokkaido University,Type2,26453,CU7,R3,2022,RA_RO1,145,7,S2,GRE2,0,8,114,2.6,https://www.topuniversities.com/universities/hokkaido-university
100147,"University of California, Santa Barbara (UCSB)",Type2,58578,CU1,R1,2022,RA_RO1,146,16,S2,GRE3,298,6,90,3.1,https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb
100148,Universiti Sains Malaysia (USM),Type2,57071,CU14,R3,2022,RA_RO1,147,8,S2,GRE2,0,6,107,3.4,https://www.topuniversities.com/universities/universiti-sains-malaysia-usm
100149,Stockholm University,Type2,67749,CU21,R2,2022,RA_RO1,148,12,S2,GRE2,0,6.5,99,2.5,https://www.topuniversities.com/universities/stockholm-university
100150,The University of Exeter,Type2,65071,CU2,R2,2022,RA_RO1,149,10,S2,GRE2,0,7,97,3.4,https://www.topuniversities.com/universities/university-exeter
100151,University of Waterloo,Type2,50174,CU8,R1,2022,RA_RO1,149,18,S4,GRE2,0,6,108,2.7,https://www.topuniversities.com/universities/university-waterloo
100152,Cardiff University,Type2,50753,CU2,R2,2022,RA_RO1,151,9,S2,GRE2,0,6,96,3.3,https://www.topuniversities.com/universities/cardiff-university
100153,University of Vienna,Type2,51939,CU30,R2,2022,RA_RO1,151,12,S4,GRE2,0,9,116,3.4,https://www.topuniversities.com/universities/university-vienna
100154,University of York,Type2,45454,CU2,R2,2022,RA_RO1,151,9,S2,GRE2,0,7.5,111,2.8,https://www.topuniversities.com/universities/university-york
100155,University of Rochester,Type1,44236,CU1,R1,2022,RA_RO1,154,5,S1,GRE1,0,7,101,2.6,https://www.topuniversities.com/universities/university-rochester
100156,Aarhus University,Type2,26260,CU19,R2,2022,RA_RO1,155,11,S2,GRE2,0,6,110,2.6,https://www.topuniversities.com/universities/aarhus-university
100157,Hanyang University,Type1,56541,CU10,R3,2022,RA_RO1,156,7,S2,GRE2,0,9,107,2.5,https://www.topuniversities.com/universities/hanyang-university
100158,Michigan State University,Type2,63608,CU1,R1,2022,RA_RO1,157,15,S4,GRE1,0,8,102,2.6,https://www.topuniversities.com/universities/michigan-state-university
100159,"University of Maryland, College Park",Type2,28814,CU1,R1,2022,RA_RO1,158,10,S4,GRE4,301,9,116,2.9,https://www.topuniversities.com/universities/university-maryland-college-park
100160,Technische Universität Berlin (TU Berlin),Type2,56514,CU12,R2,2022,RA_RO1,159,10,S2,GRE2,0,7,112,3.2,https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin
100161,Emory University,Type1,61300,CU1,R1,2022,RA_RO1,160,5,S2,GRE3,306,9,103,3,https://www.topuniversities.com/universities/emory-university
100162,Case Western Reserve University,Type1,26325,CU1,R1,2022,RA_RO1,161,7,S1,GRE3,317,6,115,2.5,https://www.topuniversities.com/universities/case-western-reserve-university
100163,Tecnológico de Monterrey,Type1,50189,CU25,R5,2022,RA_RO3,161,8,S4,GRE2,0,8.5,112,2.8,https://www.topuniversities.com/universities/tecnologico-de-monterrey
100164,King Fahd University of Petroleum & Minerals,Type2,33696,CU26,R3,2022,RA_RO1,163,7,S1,GRE2,0,9,116,2.9,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals
