university,year,rank_display,link,country,city,region,type,research_output,student_faculty_ratio,international_students,size,faculty_count,GRE Waiver,GRE Score,IELTS,Toefl,GPA,Tuition and fees,Acceptance Ratio,UID,CID,RID,SID,TID,GRE_ID,RO_ID
Institut Polytechnique de Paris,2022,49,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,France,Palaiseau Cedex,Europe,Public,Very High,6.0,"2,413",M,"1,057",Not Applicable,Not Applicable,7.5,96,2.5,44848,19.500000000000014,10049,CU11,R2,S1,Type2,GRE2,RA_RO1
The London School of Economics and Political Science (LSE),2022,49,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,Public,Very High,10.0,"8,274",M,"1,172",Not Applicable,Not Applicable,6.0,99,3.400000000000001,56491,3.2,10050,CU2,R2,S1,Type2,GRE2,RA_RO1
Shanghai Jiao Tong University,2022,50,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,China (Mainland),Shanghai,Asia,Public,Very High,9.0,"6,371",XL,"4,386",Not Applicable,Not Applicable,7.0,110,2.5,43989,33.20000000000003,10051,CU5,R3,S4,Type2,GRE2,RA_RO1
Technical University of Munich,2022,50,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,Europe,Public,Very High,5.0,"11,447",XL,"6,663",Not Applicable,Not Applicable,8.5,117,3.3000000000000007,55977,24.30000000000002,10052,CU12,R2,S4,Type2,GRE2,RA_RO1
Duke University,2022,52,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,Private,Very High,3.0,"3,445",L,"5,673",No,Not Required,6.5,104,2.8000000000000003,32237,20.900000000000016,10053,CU1,R1,S2,Type1,GRE4,RA_RO1
Carnegie Mellon University,2022,53,https://www.topuniversities.com/universities/carnegie-mellon-university,United States,Pittsburgh,North America,Private,Very High,9.0,"5,739",L,"1,534",No,Not Required,8.5,117,2.9000000000000004,59395,17.400000000000013,10054,CU1,R1,S2,Type1,GRE4,RA_RO1
City University of Hong Kong,2022,53,https://www.topuniversities.com/universities/city-university-hong-kong,Hong Kong SAR,Hong Kong,Asia,Public,Very High,6.0,"5,331",M,"1,483",Not Applicable,Not Applicable,6.5,99,2.5,48302,20.900000000000016,10055,CU6,R3,S1,Type2,GRE2,RA_RO1
University of Amsterdam,2022,55,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,Public,Very High,11.0,"7,969",XL,"6,000",Not Applicable,Not Applicable,9.0,113,2.5,67295,49.80000000000004,10056,CU13,R2,S4,Type2,GRE2,RA_RO1
Tokyo Institute of Technology (Tokyo Tech),2022,56,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,Japan,Tokyo,Asia,Public,Very High,7.0,"1,622",M,"1,492",Not Applicable,Not Applicable,7.5,102,3.2000000000000006,44067,35.800000000000026,10057,CU7,R3,S1,Type2,GRE2,RA_RO1
Delft University of Technology,2022,57,https://www.topuniversities.com/universities/delft-university-technology,Netherlands,Delft,Europe,Public,Very High,10.0,"6,104",L,"2,041",Not Applicable,Not Applicable,7.0,117,3.2000000000000006,48341,8.800000000000004,10058,CU13,R2,S2,Type2,GRE2,RA_RO1
Monash University,2022,58,https://www.topuniversities.com/universities/monash-university,Australia,Melbourne,Oceania,Public,Very High,15.0,"31,049",XL,"3,852",Not Applicable,Not Applicable,8.5,111,2.7,53307,30.800000000000026,10059,CU9,R4,S4,Type2,GRE2,RA_RO1
Brown University,2022,60,https://www.topuniversities.com/universities/brown-university,United States,Providence,North America,Private,Very High,7.0,"2,002",M,"1,389",No,Not Required,8.0,101,3.0000000000000004,60801,37.30000000000003,10060,CU1,R1,S1,Type1,GRE4,RA_RO1
The University of Warwick,2022,61,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,Europe,Public,Very High,9.0,"10,459",L,"2,634",Not Applicable,Not Applicable,8.0,100,3.1000000000000005,25233,7.700000000000005,10061,CU2,R2,S2,Type2,GRE2,RA_RO1
University of Bristol,2022,62,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,Public,Very High,8.0,"7,483",L,"20,311",Not Applicable,Not Applicable,6.0,111,2.6,25769,33.40000000000003,10062,CU2,R2,S2,Type2,GRE2,RA_RO1
Ruprecht-Karls-Universität Heidelberg,2022,63,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg,Germany,Heidelberg,Europe,Public,Very High,5.0,"4,048",L,"4,100",Not Applicable,Not Applicable,8.0,108,3.1000000000000005,49355,19.500000000000014,10063,CU12,R2,S2,Type2,GRE2,RA_RO1
Ludwig-Maximilians-Universität München,2022,64,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,Germany,Munich,Europe,Public,Very High,9.0,"5,958",XL,"3,914",Not Applicable,Not Applicable,7.0,91,2.6,30343,20.400000000000016,10064,CU12,R2,S4,Type2,GRE2,RA_RO1
Universiti Malaya (UM),2022,65,https://www.topuniversities.com/universities/universiti-malaya-um,Malaysia,Kuala Lumpur,Asia,Public,Very High,8.0,"3,340",L,"2,386",Not Applicable,Not Applicable,6.0,104,3.2000000000000006,60611,23.000000000000018,10065,CU14,R3,S2,Type2,GRE2,RA_RO1
The Hong Kong Polytechnic University,2022,66,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,Hong Kong SAR,Hong Kong,Asia,Public,Very High,7.0,"5,774",L,"2,822",Not Applicable,Not Applicable,7.5,105,3.3000000000000007,60498,47.20000000000004,10066,CU6,R3,S2,Type2,GRE2,RA_RO1
University of Texas at Austin,2022,67,https://www.topuniversities.com/universities/university-texas-austin,United States,Austin,North America,Public,Very High,17.0,"4,953",XL,"2,887",Yes,293,7.0,90,2.7,43162,10.200000000000006,10067,CU1,R1,S4,Type2,GRE3,RA_RO1
National Taiwan University (NTU),2022,68,https://www.topuniversities.com/universities/national-taiwan-university-ntu,Taiwan,Taipei City,Asia,Public,Very High,10.0,"5,058",L,"2,939",Not Applicable,Not Applicable,9.0,103,2.9000000000000004,46657,23.10000000000002,10068,CU15,R3,S2,Type2,GRE2,RA_RO1
Universidad de Buenos Aires (UBA),2022,69,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,Argentina,Buenos Aires,Latin America,Public,Very High,7.0,"29,516",XL,"16,103",Not Applicable,Not Applicable,8.5,110,3.2000000000000006,65320,37.10000000000003,10069,CU16,R5,S4,Type2,GRE2,RA_RO1
KU Leuven,2022,70,https://www.topuniversities.com/universities/ku-leuven,Belgium,Leuven,Europe,Public,Very High,18.0,"8,485",XL,"2,677",Not Applicable,Not Applicable,7.5,112,2.8000000000000003,26388,33.50000000000003,10070,CU17,R2,S4,Type2,GRE2,RA_RO1
University of Zurich,2022,70,https://www.topuniversities.com/universities/university-zurich,Switzerland,Zürich,Europe,Public,Very High,6.0,"5,044",L,"3,761",Not Applicable,Not Applicable,7.5,95,2.5,56165,38.00000000000003,10071,CU3,R2,S2,Type2,GRE2,RA_RO1
Sorbonne University,2022,72,https://www.topuniversities.com/universities/sorbonne-university,France,,Europe,Public,Very High,9.0,"8,782",XL,"4,680",Not Applicable,Not Applicable,7.0,113,3.0000000000000004,32165,48.90000000000004,10072,CU11,R2,S4,Type2,GRE2,RA_RO1
University of Glasgow,2022,73,https://www.topuniversities.com/universities/university-glasgow,United Kingdom,Glasgow,Europe,Public,Very High,9.0,"11,065",L,"3,314",Not Applicable,Not Applicable,9.0,95,2.9000000000000004,49622,40.500000000000036,10073,CU2,R2,S2,Type2,GRE2,RA_RO1
Korea University,2022,74,https://www.topuniversities.com/universities/korea-university,South Korea,Seoul,Asia,Private,Very High,6.0,"3,325",L,"4,026",Not Applicable,Not Applicable,8.0,101,3.400000000000001,27578,11.600000000000009,10074,CU10,R3,S2,Type1,GRE2,RA_RO1
Osaka University,2022,75,https://www.topuniversities.com/universities/osaka-university,Japan,Osaka City,Asia,Public,Very High,7.0,"2,268",L,"3,127",Not Applicable,Not Applicable,8.5,98,2.5,40871,22.500000000000018,10075,CU7,R3,S2,Type2,GRE2,RA_RO1
University of Wisconsin-Madison,2022,75,https://www.topuniversities.com/universities/university-wisconsin-madison,United States,Madison,North America,Public,Very High,8.0,"5,737",XL,"5,166",Yes,320,8.0,100,3.400000000000001,30528,32.10000000000002,10076,CU1,R1,S4,Type2,GRE3,RA_RO1
University of Southampton,2022,77,https://www.topuniversities.com/universities/university-southampton,United Kingdom,Southampton,Europe,Public,Very High,9.0,"8,417",L,"2,468",Not Applicable,Not Applicable,9.0,107,2.6,26083,10.200000000000006,10077,CU2,R2,S2,Type2,GRE2,RA_RO1
Lomonosov Moscow State University,2022,78,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,Russia,Moscow,Europe,Public,Very High,5.0,"5,476",XL,"6,575",Not Applicable,Not Applicable,8.0,90,2.8000000000000003,36702,14.30000000000001,10078,CU18,R2,S4,Type2,GRE2,RA_RO1
University of Copenhagen,2022,79,https://www.topuniversities.com/universities/university-copenhagen,Denmark,Copenhagen,Europe,Public,Very High,4.0,"4,135",XL,"7,293",Not Applicable,Not Applicable,9.0,115,3.400000000000001,59887,12.40000000000001,10079,CU19,R2,S4,Type2,GRE2,RA_RO1
Yonsei University,2022,79,https://www.topuniversities.com/universities/yonsei-university,South Korea,Seoul,Asia,Private,Very High,6.0,"4,274",L,"3,605",Not Applicable,Not Applicable,7.0,116,2.8000000000000003,46940,33.50000000000003,10080,CU10,R3,S2,Type1,GRE2,RA_RO1
Pohang University of Science And Technology (POSTECH),2022,81,https://www.topuniversities.com/universities/pohang-university-science-technology-postech,South Korea,Pohang ,Asia,Private,Very High,4.0,87,S,743,Not Applicable,Not Applicable,9.0,106,3.2000000000000006,34392,29.00000000000002,10081,CU10,R3,S3,Type1,GRE2,RA_RO1
Durham University,2022,82,https://www.topuniversities.com/universities/durham-university,United Kingdom,Durham,Europe,Public,Very High,11.0,"6,174",L,"1,775",Not Applicable,Not Applicable,8.5,115,3.1000000000000005,53049,30.500000000000025,10082,CU2,R2,S2,Type2,GRE2,RA_RO1
Tohoku University,2022,82,https://www.topuniversities.com/universities/tohoku-university,Japan,Sendai City,Asia,Public,Very High,5.0,"1,872",L,"3,323",Not Applicable,Not Applicable,8.5,95,2.7,56876,22.900000000000016,10083,CU7,R3,S2,Type2,GRE2,RA_RO1
University of Illinois at Urbana-Champaign,2022,82,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,United States,Champaign,North America,Public,Very High,17.0,"9,987",XL,"2,748",Optional,290,8.5,92,2.9000000000000004,67608,45.400000000000034,10084,CU1,R1,S4,Type2,GRE1,RA_RO1
The University of Auckland,2022,85,https://www.topuniversities.com/universities/university-auckland,New Zealand,Auckland,Oceania,Public,Very High,12.0,"9,924",L,"2,316",Not Applicable,Not Applicable,8.0,100,2.6,67929,25.80000000000002,10085,CU20,R4,S2,Type2,GRE2,RA_RO1
University of Washington,2022,85,https://www.topuniversities.com/universities/university-washington,United States,Seattle,North America,Public,Very High,15.0,"7,362",XL,"2,796",No,Not Required,8.0,108,2.9000000000000004,45347,41.10000000000004,10086,CU1,R1,S4,Type2,GRE4,RA_RO1
Université Paris-Saclay,2022,86,https://www.topuniversities.com/universities/universite-paris-saclay,France,,Europe,Public,Very High,5.0,"7,649",XL,"8,010",Not Applicable,Not Applicable,7.5,106,2.6,31716,44.000000000000036,10087,CU11,R2,S4,Type2,GRE2,RA_RO1
Lund University,2022,87,https://www.topuniversities.com/universities/lund-university,Sweden,Lund,Europe,Public,Very High,9.0,"6,682",L,"3,040",Not Applicable,Not Applicable,7.5,117,2.5,41583,27.300000000000022,10088,CU21,R2,S2,Type2,GRE2,RA_RO1
Georgia Institute of Technology,2022,88,https://www.topuniversities.com/universities/georgia-institute-technology,United States,Atlanta,North America,Public,Very High,19.0,"5,675",L,"1,267",Yes,300,8.5,100,3.1000000000000005,43052,33.00000000000003,10089,CU1,R1,S2,Type2,GRE3,RA_RO1
KTH Royal Institute of Technology ,2022,89,https://www.topuniversities.com/universities/kth-royal-institute-technology,Sweden,Stockholm,Europe,Public,Very High,8.0,"3,057",L,"3,600",Not Applicable,Not Applicable,7.0,109,3.1000000000000005,48012,21.400000000000016,10090,CU21,R2,S2,Type2,GRE2,RA_RO1
University of Birmingham,2022,90,https://www.topuniversities.com/universities/university-birmingham,United Kingdom,Birmingham,Europe,Public,Very High,9.0,"10,457",XL,"3,586",Not Applicable,Not Applicable,8.0,107,3.3000000000000007,31084,14.900000000000011,10091,CU2,R2,S4,Type2,GRE2,RA_RO1
University of St Andrews,2022,91,https://www.topuniversities.com/universities/university-st-andrews,United Kingdom,St. Andrews,Europe,Public,Very High,8.0,"4,377",M,"1,208",Not Applicable,Not Applicable,6.5,100,3.1000000000000005,46740,34.70000000000003,10092,CU2,R2,S1,Type2,GRE2,RA_RO1
University of Leeds,2022,92,https://www.topuniversities.com/universities/university-leeds,United Kingdom,Leeds,Europe,Public,Very High,10.0,"11,584",XL,"3,593",Not Applicable,Not Applicable,7.5,108,2.8000000000000003,41579,39.70000000000003,10093,CU2,R2,S4,Type2,GRE2,RA_RO1
The University of Western Australia,2022,93,https://www.topuniversities.com/universities/university-western-australia,Australia,Perth,Oceania,Public,Very High,12.0,"9,017",L,"1,539",Not Applicable,Not Applicable,6.0,114,3.2000000000000006,68663,19.200000000000014,10094,CU9,R4,S2,Type2,GRE2,RA_RO1
Rice University,2022,94,https://www.topuniversities.com/universities/rice-university,United States,Houston,North America,Private,Very High,7.0,"2,278",M,996,No,Not Required,9.0,99,3.400000000000001,53675,12.100000000000009,10095,CU1,R1,S1,Type1,GRE4,RA_RO1
The University of Sheffield,2022,95,https://www.topuniversities.com/universities/university-sheffield,United Kingdom,Sheffield,Europe,Public,Very High,8.0,"11,090",L,"3,463",Not Applicable,Not Applicable,7.0,95,3.2000000000000006,63962,40.500000000000036,10096,CU2,R2,S2,Type2,GRE2,RA_RO1
