UID,university,TID,CID,RID,RO_ID,SID,rank_display,student_faculty_ratio,GRE_ID,GRE Score,IELTS,Toefl,GPA,link
10021,Cornell University,Type1,CU1,R1,RA_RO1,S2,21,8,GRE1,Not Required,6.5,98,2.6,https://www.topuniversities.com/universities/cornell-university
10022,The University of Hong Kong,Type2,CU6,R3,RA_RO1,S2,22,7,GRE2,Not Applicable,6.5,97,3.4,https://www.topuniversities.com/universities/university-hong-kong
10023,The University of Tokyo,Type2,CU7,R3,RA_RO1,S2,23,6,GRE2,Not Applicable,6.5,117,3,https://www.topuniversities.com/universities/university-tokyo
10024,University of Michigan-Ann Arbor,Type2,CU1,R1,RA_RO1,S4,23,6,GRE4,305,7,112,3.2,https://www.topuniversities.com/universities/university-michigan-ann-arbor
10025,Johns Hopkins University,Type1,CU1,R1,RA_RO1,S2,25,3,GRE3,313,8,99,2.8,https://www.topuniversities.com/universities/johns-hopkins-university
10026,University of Toronto,Type2,CU8,R1,RA_RO2,S4,26,8,GRE2,Not Applicable,7.5,96,3,https://www.topuniversities.com/universities/university-toronto
10027,McGill University,Type2,CU8,R1,RA_RO1,S2,27,7,GRE2,Not Applicable,8.5,90,2.5,https://www.topuniversities.com/universities/mcgill-university
10028,The Australian National University,Type2,CU9,R4,RA_RO1,S2,27,9,GRE2,Not Applicable,6.5,96,3.4,https://www.topuniversities.com/universities/australian-national-university
10029,The University of Manchester,Type2,CU2,R2,RA_RO1,S4,27,8,GRE2,Not Applicable,7,113,3.3,https://www.topuniversities.com/universities/university-manchester
10030,Northwestern University,Type1,CU1,R1,RA_RO1,S2,30,5,GRE1,Not Required,6.5,108,3.1,https://www.topuniversities.com/universities/northwestern-university
10031,Fudan University,Type2,CU5,R3,RA_RO1,S2,31,6,GRE2,Not Applicable,8,110,3.1,https://www.topuniversities.com/universities/fudan-university
10032,"University of California, Berkeley (UCB)",Type2,CU1,R1,RA_RO1,S4,32,11,GRE3,310,7.5,110,2.7,https://www.topuniversities.com/universities/university-california-berkeley-ucb
10033,Kyoto University,Type2,CU7,R3,RA_RO1,S2,33,6,GRE2,Not Applicable,8.5,115,2.8,https://www.topuniversities.com/universities/kyoto-university
10034,The Hong Kong University of Science and Technology,Type2,CU6,R3,RA_RO1,S1,34,8,GRE2,Not Applicable,7.5,117,3.1,https://www.topuniversities.com/universities/hong-kong-university-science-technology
10035,King's College London,Type2,CU2,R2,RA_RO1,S2,35,7,GRE2,Not Applicable,9,107,3.4,https://www.topuniversities.com/universities/kings-college-london
10036,Seoul National University,Type2,CU10,R3,RA_RO1,S2,36,7,GRE2,Not Applicable,9,108,3.1,https://www.topuniversities.com/universities/seoul-national-university
10037,The University of Melbourne,Type2,CU9,R4,RA_RO2,S3,37,19,GRE2,Not Applicable,6,97,3,https://www.topuniversities.com/universities/university-melbourne
10038,The University of Sydney,Type2,CU9,R4,RA_RO1,S4,38,13,GRE2,Not Applicable,8,108,2.5,https://www.topuniversities.com/universities/university-sydney
10039,The Chinese University of Hong Kong (CUHK),Type2,CU6,R3,RA_RO1,S2,39,8,GRE2,Not Applicable,9,90,3.4,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk
10040,"University of California, Los Angeles (UCLA)",Type2,CU1,R1,RA_RO1,S4,40,10,GRE3,328,8,97,2.8,https://www.topuniversities.com/universities/university-california-los-angeles-ucla
10041,KAIST - Korea Advanced Institute of Science & Technology,Type2,CU10,R3,RA_RO1,S1,41,8,GRE2,Not Applicable,7,104,2.9,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology
10042,New York University (NYU),Type1,CU1,R1,RA_RO1,S4,42,6,GRE1,Not Required,7,92,3.2,https://www.topuniversities.com/universities/new-york-university-nyu
10043,The University of New South Wales (UNSW Sydney),Type2,CU9,R4,RA_RO1,S4,43,14,GRE2,Not Applicable,8,92,3.1,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney
10044,Université PSL,Type2,CU11,R2,RA_RO1,S2,44,5,GRE2,Not Applicable,6,117,3.1,https://www.topuniversities.com/universities/universite-psl
10045,Zhejiang University,Type2,CU5,R3,RA_RO1,S4,45,7,GRE2,Not Applicable,6,103,2.7,https://www.topuniversities.com/universities/zhejiang-university
10046,University of British Columbia,Type2,CU8,R1,RA_RO1,S4,46,9,GRE2,Not Applicable,6.5,98,3.2,https://www.topuniversities.com/universities/university-british-columbia
10047,The University of Queensland,Type2,CU9,R4,RA_RO1,S4,47,12,GRE2,Not Applicable,6,93,2.6,https://www.topuniversities.com/universities/university-queensland
10048,"University of California, San Diego (UCSD)",Type2,CU1,R1,RA_RO1,S4,48,8,GRE3,309,9,112,2.6,https://www.topuniversities.com/universities/university-california-san-diego-ucsd
10049,Institut Polytechnique de Paris,Type2,CU11,R2,RA_RO1,S1,49,6,GRE2,Not Applicable,6.5,113,2.9,https://www.topuniversities.com/universities/institut-polytechnique-de-paris
10050,The London School of Economics and Political Science (LSE),Type2,CU2,R2,RA_RO1,S1,49,10,GRE2,Not Applicable,9,98,3.3,https://www.topuniversities.com/universities/london-school-economics-political-science-lse
10051,Shanghai Jiao Tong University,Type2,CU5,R3,RA_RO1,S4,50,9,GRE2,Not Applicable,7,116,3.1,https://www.topuniversities.com/universities/shanghai-jiao-tong-university
10052,Technical University of Munich,Type2,CU12,R2,RA_RO1,S4,50,5,GRE2,Not Applicable,8.5,103,3.2,https://www.topuniversities.com/universities/technical-university-munich
10053,Duke University,Type1,CU1,R1,RA_RO1,S2,52,3,GRE3,328,6,99,3.3,https://www.topuniversities.com/universities/duke-university
10054,Carnegie Mellon University,Type1,CU1,R1,RA_RO1,S2,53,9,GRE4,315,8.5,96,2.9,https://www.topuniversities.com/universities/carnegie-mellon-university
10055,City University of Hong Kong,Type2,CU6,R3,RA_RO1,S1,53,6,GRE2,Not Applicable,6,106,3.1,https://www.topuniversities.com/universities/city-university-hong-kong
10056,University of Amsterdam,Type2,CU13,R2,RA_RO1,S4,55,11,GRE2,Not Applicable,8,107,3.3,https://www.topuniversities.com/universities/university-amsterdam
10057,Tokyo Institute of Technology (Tokyo Tech),Type2,CU7,R3,RA_RO1,S1,56,7,GRE2,Not Applicable,8,95,2.8,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech
10058,Delft University of Technology,Type2,CU13,R2,RA_RO1,S2,57,10,GRE2,Not Applicable,6.5,97,2.5,https://www.topuniversities.com/universities/delft-university-technology
10059,Monash University,Type2,CU9,R4,RA_RO1,S4,58,15,GRE2,Not Applicable,8,117,2.6,https://www.topuniversities.com/universities/monash-university
10060,Brown University,Type1,CU1,R1,RA_RO1,S1,60,7,GRE4,313,9,117,2.5,https://www.topuniversities.com/universities/brown-university
10061,The University of Warwick,Type2,CU2,R2,RA_RO1,S2,61,9,GRE2,Not Applicable,6,90,2.8,https://www.topuniversities.com/universities/university-warwick
10062,University of Bristol,Type2,CU2,R2,RA_RO1,S2,62,8,GRE2,Not Applicable,7,112,2.6,https://www.topuniversities.com/universities/university-bristol
10063,Ruprecht-Karls-Universität Heidelberg,Type2,CU12,R2,RA_RO1,S2,63,5,GRE2,Not Applicable,6.5,105,3,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg
10064,Ludwig-Maximilians-Universität München,Type2,CU12,R2,RA_RO1,S4,64,9,GRE2,Not Applicable,7.5,110,2.8,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen
10065,Universiti Malaya (UM),Type2,CU14,R3,RA_RO1,S2,65,8,GRE2,Not Applicable,7,95,2.9,https://www.topuniversities.com/universities/universiti-malaya-um
10066,The Hong Kong Polytechnic University,Type2,CU6,R3,RA_RO1,S2,66,7,GRE2,Not Applicable,7,100,2.8,https://www.topuniversities.com/universities/hong-kong-polytechnic-university
10067,University of Texas at Austin,Type2,CU1,R1,RA_RO1,S4,67,17,GRE4,299,7.5,113,2.7,https://www.topuniversities.com/universities/university-texas-austin
10068,National Taiwan University (NTU),Type2,CU15,R3,RA_RO1,S2,68,10,GRE2,Not Applicable,9,92,2.5,https://www.topuniversities.com/universities/national-taiwan-university-ntu
10069,Universidad de Buenos Aires (UBA),Type2,CU16,R5,RA_RO1,S4,69,7,GRE2,Not Applicable,7,104,2.8,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba
10070,KU Leuven,Type2,CU17,R2,RA_RO1,S4,70,18,GRE2,Not Applicable,7,110,2.9,https://www.topuniversities.com/universities/ku-leuven
10071,University of Zurich,Type2,CU3,R2,RA_RO1,S2,70,6,GRE2,Not Applicable,9,117,3.3,https://www.topuniversities.com/universities/university-zurich
10072,Sorbonne University,Type2,CU11,R2,RA_RO1,S4,72,9,GRE2,Not Applicable,8.5,95,2.5,https://www.topuniversities.com/universities/sorbonne-university
10073,University of Glasgow,Type2,CU2,R2,RA_RO1,S2,73,9,GRE2,Not Applicable,9,90,3.1,https://www.topuniversities.com/universities/university-glasgow
10074,Korea University,Type1,CU10,R3,RA_RO1,S2,74,6,GRE2,Not Applicable,6.5,90,3.1,https://www.topuniversities.com/universities/korea-university
10075,Osaka University,Type2,CU7,R3,RA_RO1,S2,75,7,GRE2,Not Applicable,7,92,3.1,https://www.topuniversities.com/universities/osaka-university
10076,University of Wisconsin-Madison,Type2,CU1,R1,RA_RO1,S4,75,8,GRE3,310,7,97,3.4,https://www.topuniversities.com/universities/university-wisconsin-madison
10077,University of Southampton,Type2,CU2,R2,RA_RO1,S2,77,9,GRE2,Not Applicable,7,113,3.4,https://www.topuniversities.com/universities/university-southampton
10078,Lomonosov Moscow State University,Type2,CU18,R2,RA_RO1,S4,78,5,GRE2,Not Applicable,7,112,3.1,https://www.topuniversities.com/universities/lomonosov-moscow-state-university
10079,University of Copenhagen,Type2,CU19,R2,RA_RO1,S4,79,4,GRE2,Not Applicable,8,99,3,https://www.topuniversities.com/universities/university-copenhagen
10080,Yonsei University,Type1,CU10,R3,RA_RO1,S2,79,6,GRE2,Not Applicable,8.5,116,2.6,https://www.topuniversities.com/universities/yonsei-university
10081,Pohang University of Science And Technology (POSTECH),Type1,CU10,R3,RA_RO1,S3,81,4,GRE2,Not Applicable,6.5,102,2.8,https://www.topuniversities.com/universities/pohang-university-science-technology-postech
10082,Durham University,Type2,CU2,R2,RA_RO1,S2,82,11,GRE2,Not Applicable,6.5,102,3.3,https://www.topuniversities.com/universities/durham-university
10083,Tohoku University,Type2,CU7,R3,RA_RO1,S2,82,5,GRE2,Not Applicable,9,113,2.9,https://www.topuniversities.com/universities/tohoku-university
10084,University of Illinois at Urbana-Champaign,Type2,CU1,R1,RA_RO1,S4,82,17,GRE3,311,7,114,2.6,https://www.topuniversities.com/universities/university-illinois-urbana-champaign
10085,The University of Auckland,Type2,CU20,R4,RA_RO1,S2,85,12,GRE2,Not Applicable,9,96,3.2,https://www.topuniversities.com/universities/university-auckland
10086,University of Washington,Type2,CU1,R1,RA_RO1,S4,85,15,GRE1,Not Required,8.5,101,2.8,https://www.topuniversities.com/universities/university-washington
10087,Université Paris-Saclay,Type2,CU11,R2,RA_RO1,S4,86,5,GRE2,Not Applicable,9,111,2.5,https://www.topuniversities.com/universities/universite-paris-saclay
10088,Lund University,Type2,CU21,R2,RA_RO1,S2,87,9,GRE2,Not Applicable,7,95,3.3,https://www.topuniversities.com/universities/lund-university
10089,Georgia Institute of Technology,Type2,CU1,R1,RA_RO1,S2,88,19,GRE4,305,7,103,3.2,https://www.topuniversities.com/universities/georgia-institute-technology
10090,KTH Royal Institute of Technology ,Type2,CU21,R2,RA_RO1,S2,89,8,GRE2,Not Applicable,9,110,3.2,https://www.topuniversities.com/universities/kth-royal-institute-technology
10091,University of Birmingham,Type2,CU2,R2,RA_RO1,S4,90,9,GRE2,Not Applicable,7.5,95,2.8,https://www.topuniversities.com/universities/university-birmingham
10092,University of St Andrews,Type2,CU2,R2,RA_RO1,S1,91,8,GRE2,Not Applicable,6,107,3.4,https://www.topuniversities.com/universities/university-st-andrews
10093,University of Leeds,Type2,CU2,R2,RA_RO1,S4,92,10,GRE2,Not Applicable,9,117,2.9,https://www.topuniversities.com/universities/university-leeds
10094,The University of Western Australia,Type2,CU9,R4,RA_RO1,S2,93,12,GRE2,Not Applicable,7.5,95,2.6,https://www.topuniversities.com/universities/university-western-australia
10095,Rice University,Type1,CU1,R1,RA_RO1,S1,94,7,GRE4,325,9,94,3.1,https://www.topuniversities.com/universities/rice-university
10096,The University of Sheffield,Type2,CU2,R2,RA_RO1,S2,95,8,GRE2,Not Applicable,6.5,100,2.8,https://www.topuniversities.com/universities/university-sheffield
10097,Pennsylvania State University,Type2,CU1,R1,RA_RO1,S4,96,11,GRE4,313,7,91,2.9,https://www.topuniversities.com/universities/pennsylvania-state-university
10098,Sungkyunkwan University (SKKU),Type1,CU10,R3,RA_RO1,S2,97,7,GRE2,Not Applicable,7.5,92,3.4,https://www.topuniversities.com/universities/sungkyunkwan-universityskku
10099,University of Science and Technology of China,Type2,CU5,R3,RA_RO1,S2,98,7,GRE2,Not Applicable,6.5,99,3.1,https://www.topuniversities.com/universities/university-science-technology-china
100100,Technical University of Denmark,Type2,CU19,R2,RA_RO1,S1,99,4,GRE2,Not Applicable,9,115,3.2,https://www.topuniversities.com/universities/technical-university-denmark
100101,"University of North Carolina, Chapel Hill",Type2,CU1,R1,RA_RO1,S4,100,7,GRE3,314,7.5,92,3.4,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill
100102,"Trinity College Dublin, The University of Dublin",Type2,CU22,R2,RA_RO1,S2,101,12,GRE2,Not Applicable,7.5,113,2.5,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin
100103,University of Oslo,Type2,CU23,R2,RA_RO1,S2,102,7,GRE2,Not Applicable,8.5,93,3,https://www.topuniversities.com/universities/university-oslo
100104,University of Nottingham,Type2,CU2,R2,RA_RO1,S4,103,10,GRE2,Not Applicable,7,103,3.4,https://www.topuniversities.com/universities/university-nottingham
100105,University of Helsinki,Type2,CU24,R2,RA_RO1,S2,104,8,GRE2,Not Applicable,7,115,3.2,https://www.topuniversities.com/universities/university-helsinki
100106,Universidad Nacional Autónoma de México  (UNAM),Type2,CU25,R5,RA_RO1,S4,105,9,GRE2,Not Applicable,8,95,3.3,https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam
100107,University of Geneva,Type2,CU3,R2,RA_RO1,S2,105,9,GRE2,Not Applicable,6.5,95,2.6,https://www.topuniversities.com/universities/university-geneva
100108,Washington University in St. Louis,Type1,CU1,R1,RA_RO1,S2,107,5,GRE4,319,7.5,107,2.5,https://www.topuniversities.com/universities/washington-university-st-louis
100109,The University of Adelaide,Type2,CU9,R4,RA_RO1,S2,108,13,GRE2,Not Applicable,6,112,2.9,https://www.topuniversities.com/universities/university-adelaide
100110,"University of California, Davis",Type2,CU1,R1,RA_RO1,S4,108,10,GRE3,308,8,110,3.1,https://www.topuniversities.com/universities/university-california-davis
100111,King Abdulaziz University (KAU),Type2,CU26,R3,RA_RO1,S4,109,8,GRE2,Not Applicable,7,104,3,https://www.topuniversities.com/universities/king-abdulaziz-university-kau
100112,Utrecht University,Type2,CU13,R2,RA_RO1,S4,110,10,GRE2,Not Applicable,6.5,112,3,https://www.topuniversities.com/universities/utrecht-university
100113,Université de Montréal ,Type2,CU8,R1,RA_RO1,S4,111,7,GRE2,Not Applicable,9,104,3.2,https://www.topuniversities.com/universities/universite-de-montreal
100114,Aalto University,Type2,CU24,R2,RA_RO1,S2,112,9,GRE2,Not Applicable,9,116,2.6,https://www.topuniversities.com/universities/aalto-university
100115,Boston University,Type1,CU1,R1,RA_RO1,S2,112,10,GRE4,291,8,117,3.2,https://www.topuniversities.com/universities/boston-university
100116,Leiden University,Type2,CU13,R2,RA_RO1,S4,112,12,GRE2,Not Applicable,7,95,3.1,https://www.topuniversities.com/universities/leiden-university
100117,University of Southern California,Type1,CU1,R1,RA_RO1,S4,112,10,GRE3,299,9,103,2.9,https://www.topuniversities.com/universities/university-southern-california
100118,Purdue University,Type2,CU1,R1,RA_RO1,S4,116,15,GRE3,312,6,98,3.2,https://www.topuniversities.com/universities/purdue-university
100119,Queen Mary University of London,Type2,CU2,R2,RA_RO1,S2,117,9,GRE2,Not Applicable,8.5,110,2.9,https://www.topuniversities.com/universities/queen-mary-university-london
100120,Nagoya University,Type2,CU7,R3,RA_RO1,S2,118,6,GRE2,Not Applicable,8.5,110,3.2,https://www.topuniversities.com/universities/nagoya-university
100121,University of Bern,Type2,CU3,R2,RA_RO1,S1,119,8,GRE2,Not Applicable,6.5,96,3.4,https://www.topuniversities.com/universities/university-bern
100122,The Ohio State University,Type2,CU1,R1,RA_RO1,S4,120,9,GRE1,Not Required,9,112,2.8,https://www.topuniversities.com/universities/ohio-state-university
100123,Chalmers University of Technology,Type1,CU21,R2,RA_RO1,S1,121,8,GRE2,Not Applicable,8,107,3.3,https://www.topuniversities.com/universities/chalmers-university-technology
100124,Universidade de São Paulo,Type2,CU27,R5,RA_RO1,S4,121,13,GRE2,Not Applicable,6,98,2.6,https://www.topuniversities.com/universities/universidade-de-sao-paulo
100125,Wageningen University & Research,Type2,CU13,R2,RA_RO1,S2,123,5,GRE2,Not Applicable,9,103,2.6,https://www.topuniversities.com/universities/wageningen-university-research
100126,Uppsala University,Type2,CU21,R2,RA_RO1,S2,124,10,GRE2,Not Applicable,6,104,2.5,https://www.topuniversities.com/universities/uppsala-university
100127,Eindhoven University of Technology,Type2,CU13,R2,RA_RO1,S1,125,9,GRE2,Not Applicable,6.5,106,2.9,https://www.topuniversities.com/universities/eindhoven-university-technology
100128,University of Alberta,Type2,CU8,R1,RA_RO1,S4,126,9,GRE2,Not Applicable,6,105,3.3,https://www.topuniversities.com/universities/university-alberta
100129,Freie Universitaet Berlin,Type2,CU12,R2,RA_RO1,S4,127,25,GRE2,Not Applicable,8,116,3.1,https://www.topuniversities.com/universities/freie-universitaet-berlin
100130,Humboldt-Universität zu Berlin,Type2,CU12,R2,RA_RO1,S4,128,17,GRE2,Not Applicable,8,97,2.5,https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin
100131,University of Groningen,Type2,CU13,R2,RA_RO1,S4,128,8,GRE2,Not Applicable,9,105,2.9,https://www.topuniversities.com/universities/university-groningen
100132,École Normale Supérieure de Lyon,Type2,CU11,R2,RA_RO1,S3,130,5,GRE2,Not Applicable,7.5,113,3.2,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon
100133,Nanjing University,Type2,CU5,R3,RA_RO1,S4,131,11,GRE2,Not Applicable,7.5,92,2.7,https://www.topuniversities.com/universities/nanjing-university
100134,Lancaster University,Type2,CU2,R2,RA_RO1,S2,132,10,GRE2,Not Applicable,6,111,2.7,https://www.topuniversities.com/universities/lancaster-university
100135,University of Technology Sydney,Type2,CU9,R4,RA_RO1,S2,133,16,GRE2,Not Applicable,6,107,3.2,https://www.topuniversities.com/universities/university-technology-sydney
100136,Newcastle University,Type2,CU2,R2,RA_RO1,S2,134,10,GRE2,Not Applicable,8.5,97,3.2,https://www.topuniversities.com/universities/newcastle-university
100137,Pontificia Universidad Católica de Chile (UC),Type1,CU28,R5,RA_RO1,S2,135,12,GRE2,Not Applicable,6.5,94,3.4,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc
100138,"KIT, Karlsruhe Institute of Technology",Type2,CU12,R2,RA_RO1,S2,136,10,GRE2,Not Applicable,7.5,104,3.4,https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology
100139,Kyushu University,Type2,CU7,R3,RA_RO1,S2,137,7,GRE2,Not Applicable,6.5,107,2.9,https://www.topuniversities.com/universities/kyushu-university
100140,University of Basel,Type2,CU3,R2,RA_RO1,S1,138,9,GRE2,Not Applicable,8.5,107,3,https://www.topuniversities.com/universities/university-basel
100141,McMaster University,Type2,CU8,R1,RA_RO1,S2,140,7,GRE2,Not Applicable,6,108,3.2,https://www.topuniversities.com/universities/mcmaster-university
100142,Ghent University,Type2,CU17,R2,RA_RO1,S4,141,7,GRE2,Not Applicable,7.5,111,3,https://www.topuniversities.com/universities/ghent-university
100143,Politecnico di Milano,Type2,CU29,R2,RA_RO1,S4,142,21,GRE2,Not Applicable,6,111,2.8,https://www.topuniversities.com/universities/politecnico-di-milano
100144,Universiti Putra Malaysia (UPM),Type2,CU14,R3,RA_RO1,S2,143,8,GRE2,Not Applicable,8.5,103,2.5,https://www.topuniversities.com/universities/universiti-putra-malaysia-upm
100145,Universiti Kebangsaan Malaysia (UKM),Type2,CU14,R3,RA_RO1,S2,144,6,GRE2,Not Applicable,8,100,3.2,https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm
100146,Hokkaido University,Type2,CU7,R3,RA_RO1,S2,145,7,GRE2,Not Applicable,7.5,99,3.3,https://www.topuniversities.com/universities/hokkaido-university
100147,"University of California, Santa Barbara (UCSB)",Type2,CU1,R1,RA_RO1,S2,146,16,GRE1,Not Required,9,108,3.3,https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb
100148,Universiti Sains Malaysia (USM),Type2,CU14,R3,RA_RO1,S2,147,8,GRE2,Not Applicable,7.5,115,2.8,https://www.topuniversities.com/universities/universiti-sains-malaysia-usm
100149,Stockholm University,Type2,CU21,R2,RA_RO1,S2,148,12,GRE2,Not Applicable,8,101,3.2,https://www.topuniversities.com/universities/stockholm-university
100150,The University of Exeter,Type2,CU2,R2,RA_RO1,S2,149,10,GRE2,Not Applicable,7.5,92,2.9,https://www.topuniversities.com/universities/university-exeter
100151,University of Waterloo,Type2,CU8,R1,RA_RO1,S4,149,18,GRE2,Not Applicable,9,90,3.1,https://www.topuniversities.com/universities/university-waterloo
100152,Cardiff University,Type2,CU2,R2,RA_RO1,S2,151,9,GRE2,Not Applicable,9,105,2.5,https://www.topuniversities.com/universities/cardiff-university
100153,University of Vienna,Type2,CU30,R2,RA_RO1,S4,151,12,GRE2,Not Applicable,6.5,111,3.1,https://www.topuniversities.com/universities/university-vienna
100154,University of York,Type2,CU2,R2,RA_RO1,S2,151,9,GRE2,Not Applicable,6,112,3.1,https://www.topuniversities.com/universities/university-york
100155,University of Rochester,Type1,CU1,R1,RA_RO1,S1,154,5,GRE4,303,6,115,2.7,https://www.topuniversities.com/universities/university-rochester
100156,Aarhus University,Type2,CU19,R2,RA_RO1,S2,155,11,GRE2,Not Applicable,8.5,96,2.5,https://www.topuniversities.com/universities/aarhus-university
100157,Hanyang University,Type1,CU10,R3,RA_RO1,S2,156,7,GRE2,Not Applicable,8,109,3.4,https://www.topuniversities.com/universities/hanyang-university
100158,Michigan State University,Type2,CU1,R1,RA_RO1,S4,157,15,GRE4,325,6.5,116,2.5,https://www.topuniversities.com/universities/michigan-state-university
100159,"University of Maryland, College Park",Type2,CU1,R1,RA_RO1,S4,158,10,GRE4,317,6.5,92,2.9,https://www.topuniversities.com/universities/university-maryland-college-park
100160,Technische Universität Berlin (TU Berlin),Type2,CU12,R2,RA_RO1,S2,159,10,GRE2,Not Applicable,8,116,3.4,https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin
100161,Emory University,Type1,CU1,R1,RA_RO1,S2,160,5,GRE3,290,6.5,116,2.7,https://www.topuniversities.com/universities/emory-university
100162,Case Western Reserve University,Type1,CU1,R1,RA_RO1,S1,161,7,GRE4,303,8.5,113,2.9,https://www.topuniversities.com/universities/case-western-reserve-university
100163,Tecnológico de Monterrey,Type1,CU25,R5,RA_RO3,S4,161,8,GRE2,Not Applicable,8,111,2.8,https://www.topuniversities.com/universities/tecnologico-de-monterrey
100164,King Fahd University of Petroleum & Minerals,Type2,CU26,R3,RA_RO1,S1,163,7,GRE2,Not Applicable,7.5,109,3.3,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals
100165,University of Pittsburgh,Type2,CU1,R1,RA_RO1,S2,163,6,GRE4,305,9,117,2.9,https://www.topuniversities.com/universities/university-pittsburgh
100166,RWTH Aachen University,Type2,CU12,R2,RA_RO1,S4,165,19,GRE2,Not Applicable,6,104,3,https://www.topuniversities.com/universities/rwth-aachen-university
100167,Alma Mater Studiorum - University of Bologna,Type2,CU29,R2,RA_RO1,S4,166,24,GRE2,Not Applicable,6,91,2.5,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna
100168,University of Bath,Type2,CU2,R2,RA_RO1,S2,166,12,GRE2,Not Applicable,8,95,3.3,https://www.topuniversities.com/universities/university-bath
