Applicant Id,UID,Course Name,Degree_ID,Application Status
100018,100325,Electrical Engineering,DL1,Reject
100019,100537,Data Science,DL1,Applied
100019,100580,Data Science,DL1,Admit
100019,100103,Data Science,DL1,Applied
100020,100754,Computer Science,DL3,Reject
100020,1001121,Computer Science,DL3,Applied
100020,100957,Computer Science,DL3,Admit
100021,100949,Business Analytics,DL3,Reject
100021,100106,Business Analytics,DL3,Reject
100021,1001160,Business Analytics,DL3,Admit
100022,100187,Aerospace Engineering,DL3,Reject
100022,100626,Aerospace Engineering,DL3,Applied
100022,1001077,Aerospace Engineering,DL3,Applied
100022,100732,Aerospace Engineering,DL3,Admit
100023,10056,Physics,DL3,Reject
100023,100251,Physics,DL3,Reject
100023,1001056,Physics,DL3,Applied
100023,100597,Physics,DL3,Admit
100023,1001121,Physics,DL3,Applied
100024,100991,Mechanical Engineering,DL3,Reject
100024,100261,Mechanical Engineering,DL3,Reject
100024,10091,Mechanical Engineering,DL3,Applied
100024,100747,Mechanical Engineering,DL3,Applied
100024,100545,Mechanical Engineering,DL3,Admit
100025,1001289,Economics for Business,DL2,Applied
100025,1001282,Economics for Business,DL2,Applied
100025,100673,Economics for Business,DL2,Admit
100025,100933,Economics for Business,DL2,Admit
100025,10068,Economics for Business,DL2,Reject
100026,100524,Computer Science,DL1,Applied
100026,1001035,Computer Science,DL1,Reject
100026,100631,Computer Science,DL1,Reject
100026,100844,Computer Science,DL1,Reject
100026,1001184,Computer Science,DL1,Reject
100027,100734,Business Analytics,DL3,Applied
100027,1001056,Business Analytics,DL3,Admit
100027,100648,Business Analytics,DL3,Applied
100027,1001099,Business Analytics,DL3,Applied
100027,100956,Business Analytics,DL3,Applied
100028,100992,Supply Chain Management,DL2,Admit
100028,100291,Supply Chain Management,DL2,Reject
100029,1001211,Computer Science,DL3,Reject
100030,10081,Management,DL3,Applied
100030,100358,Management,DL3,Applied
100031,1001104,Data Science,DL1,Admit
100031,100957,Data Science,DL1,Applied
100032,1001119,Organizational Behavior,DL2,Applied
100032,1001160,Organizational Behavior,DL2,Applied
100032,1001160,Organizational Behavior,DL2,Applied
100033,100378,Finance,DL3,Applied
100033,100576,Finance,DL3,Admit
100033,100622,Finance,DL3,Reject
100033,100942,Finance,DL3,Reject
100034,100305,Philosophy,DL3,Applied
100034,100574,Philosophy,DL3,Reject
100034,100798,Philosophy,DL3,Admit
100034,100258,Philosophy,DL3,Applied
100034,100225,Philosophy,DL3,Applied
100035,10056,Electrical Engineering,DL1,Reject
100035,100956,Electrical Engineering,DL1,Applied
100035,1001168,Electrical Engineering,DL1,Admit
100035,100369,Electrical Engineering,DL1,Reject
100035,100870,Electrical Engineering,DL1,Applied
100036,100880,Mathematics,DL3,Applied
100036,100597,Mathematics,DL3,Reject
100036,100941,Mathematics,DL3,Applied
100036,1001119,Mathematics,DL3,Applied
100036,10055,Mathematics,DL3,Applied
100037,100181,Organizational Behavior,DL2,Admit
100037,100528,Organizational Behavior,DL2,Applied
100038,10063,Accounting,DL3,Applied
100039,1001097,Data Science,DL3,Reject
100040,100709,Political Science,DL3,Admit
100040,100669,Political Science,DL3,Reject
100041,10065,Computer Science,DL3,Admit
100041,100336,Computer Science,DL3,Admit
100041,10055,Computer Science,DL3,Reject
100042,1001035,Information Technology,DL1,Applied
100042,100225,Information Technology,DL1,Applied
100043,100877,Electrical Engineering,DL1,Reject
100043,1001291,Electrical Engineering,DL1,Applied
100044,100722,Electrical Engineering,DL3,Admit
100044,1001296,Electrical Engineering,DL3,Applied
100044,1001017,Electrical Engineering,DL3,Admit
100044,100784,Electrical Engineering,DL3,Applied
100045,100998,Computer Science,DL1,Reject
100045,1001131,Computer Science,DL1,Admit
100045,100834,Computer Science,DL1,Reject
100045,1001036,Computer Science,DL1,Applied
100045,100728,Computer Science,DL1,Applied
100046,100373,Environmental Science,DL3,Reject
100046,100352,Environmental Science,DL3,Admit
100046,100441,Environmental Science,DL3,Admit
100046,100472,Environmental Science,DL3,Reject
100046,100998,Environmental Science,DL3,Applied
100047,100570,Organizational Behavior,DL2,Admit
100047,100648,Organizational Behavior,DL2,Applied
100047,10065,Organizational Behavior,DL2,Admit
100047,1001168,Organizational Behavior,DL2,Applied
100047,100576,Organizational Behavior,DL2,Reject
100048,100114,Information Systems,DL2,Applied
100048,100515,Information Systems,DL2,Applied
100048,100798,Information Systems,DL2,Applied
100048,100751,Information Systems,DL2,Reject
100048,100345,Information Systems,DL2,Applied
100049,100942,Financial Accounting,DL2,Applied
100049,100698,Financial Accounting,DL2,Applied
100049,1001294,Financial Accounting,DL2,Applied
100050,1001163,International Business,DL2,Applied
100050,100998,International Business,DL2,Admit
100050,1001078,International Business,DL2,Applied
100050,100894,International Business,DL2,Applied
100051,1001096,Information Technology,DL1,Admit
100051,1001113,Information Technology,DL1,Reject
100051,100251,Information Technology,DL1,Reject
100052,100416,Information Technology,DL1,Admit
100052,100947,Information Technology,DL1,Reject
100053,1001294,Biomedical Engineering,DL1,Reject
100053,100285,Biomedical Engineering,DL1,Reject
100053,1001209,Biomedical Engineering,DL1,Admit
100053,100706,Biomedical Engineering,DL1,Applied
100054,100311,Leadership and Management,DL2,Reject
100054,100471,Leadership and Management,DL2,Admit
100054,100466,Leadership and Management,DL2,Reject
100054,100360,Leadership and Management,DL2,Admit
100055,100845,Business Communication,DL2,Applied
100055,100333,Business Communication,DL2,Reject
100055,1001296,Business Communication,DL2,Admit
100056,100225,Data Science,DL1,Applied
100056,1001006,Data Science,DL1,Admit
100056,100403,Data Science,DL1,Applied
100057,100574,Data Science,DL1,Admit
100057,100225,Data Science,DL1,Applied
100057,100470,Data Science,DL1,Applied
100058,100826,Business Ethics,DL2,Admit
100058,1001160,Business Ethics,DL2,Admit
100059,100957,Civil Engineering,DL1,Reject
100060,100225,Supply Chain Management,DL2,Reject
100060,100300,Supply Chain Management,DL2,Applied
100061,1001287,Entrepreneurship,DL2,Applied
100061,1001211,Entrepreneurship,DL2,Admit
100062,100998,Environmental Science,DL3,Admit
100062,100704,Environmental Science,DL3,Admit
100062,100962,Environmental Science,DL3,Reject
100063,100875,Strategic Management,DL2,Admit
100063,100717,Strategic Management,DL2,Applied
100064,1001148,Statistics,DL1,Reject
100064,100990,Statistics,DL1,Admit
100065,1001180,Organizational Behavior,DL2,Applied
100065,1001071,Organizational Behavior,DL2,Admit
100065,1001211,Organizational Behavior,DL2,Applied
100066,1001263,Electrical Engineering,DL3,Applied
100066,1001160,Electrical Engineering,DL3,Applied
100066,1001289,Electrical Engineering,DL3,Admit
100066,1001211,Electrical Engineering,DL3,Reject
100067,100713,Project Management,DL2,Applied
100067,1001180,Project Management,DL2,Reject
100067,1001237,Project Management,DL2,Applied
100068,100784,Entrepreneurship,DL2,Admit
100068,1001055,Entrepreneurship,DL2,Applied
100069,1001239,Aerospace Engineering,DL1,Reject
100069,100626,Aerospace Engineering,DL1,Reject
100069,1001241,Aerospace Engineering,DL1,Reject
100070,1001097,Electrical Engineering,DL3,Applied
100070,100325,Electrical Engineering,DL3,Admit
100070,100549,Electrical Engineering,DL3,Applied
100070,1001289,Electrical Engineering,DL3,Applied
100071,100606,Computer Science,DL1,Reject
100071,1001211,Computer Science,DL1,Applied
100071,1001025,Computer Science,DL1,Applied
100071,100739,Computer Science,DL1,Applied
100071,1001058,Computer Science,DL1,Applied
100072,1001069,Civil Engineering,DL3,Applied
100072,1001154,Civil Engineering,DL3,Applied
100072,100597,Civil Engineering,DL3,Applied
100072,100471,Civil Engineering,DL3,Reject
100072,100967,Civil Engineering,DL3,Reject
100073,1001168,Quantitative Analysis for Business,DL2,Reject
100073,1001136,Quantitative Analysis for Business,DL2,Applied
100073,100441,Quantitative Analysis for Business,DL2,Admit
100073,100332,Quantitative Analysis for Business,DL2,Reject
100073,100998,Quantitative Analysis for Business,DL2,Applied
100074,100779,Business Analytics,DL3,Reject
100074,100644,Business Analytics,DL3,Applied
100074,1001064,Business Analytics,DL3,Applied
100074,100209,Business Analytics,DL3,Admit
100075,1001056,Business Ethics,DL2,Applied
100075,100398,Business Ethics,DL2,Applied
100075,100469,Business Ethics,DL2,Reject
100076,1001036,Electrical Engineering,DL1,Admit
100076,1001294,Electrical Engineering,DL1,Admit
100077,100599,Information Systems,DL2,Applied
100077,100200,Information Systems,DL2,Applied
100077,100918,Information Systems,DL2,Admit
100078,10011,Business Ethics,DL2,Applied
100078,100488,Business Ethics,DL2,Applied
100079,100515,Sociology,DL3,Admit
100079,1001263,Sociology,DL3,Applied
100080,1001289,Aerospace Engineering,DL1,Reject
100081,1001227,Computer Science,DL1,Applied
100081,100296,Computer Science,DL1,Applied
100081,100956,Computer Science,DL1,Admit
100082,1001296,Information Systems,DL2,Applied
100082,100185,Information Systems,DL2,Admit
100082,1001278,Information Systems,DL2,Applied
100082,100899,Information Systems,DL2,Reject
100083,1001208,Mechanical Engineering,DL1,Applied
100083,100611,Mechanical Engineering,DL1,Applied
100083,100935,Mechanical Engineering,DL1,Admit
100083,10011,Mechanical Engineering,DL1,Applied
100083,1001260,Mechanical Engineering,DL1,Reject
100084,1001131,Electrical Engineering,DL1,Reject
100084,1001288,Electrical Engineering,DL1,Reject
100084,100380,Electrical Engineering,DL1,Admit
100084,1001214,Electrical Engineering,DL1,Admit
100084,1001234,Electrical Engineering,DL1,Admit
100085,10023,Management,DL3,Reject
100085,10034,Management,DL3,Admit
100085,100137,Management,DL3,Admit
100085,1001058,Management,DL3,Reject
100085,1001214,Management,DL3,Admit
100086,10069,Business Analytics,DL3,Applied
100086,1001108,Business Analytics,DL3,Applied
100086,1001211,Business Analytics,DL3,Reject
100086,100222,Business Analytics,DL3,Reject
100087,100779,Statistics,DL3,Applied
100087,1001158,Statistics,DL3,Applied
100087,100844,Statistics,DL3,Admit
100088,100174,Philosophy,DL3,Applied
100088,100706,Philosophy,DL3,Admit
100089,1001237,Electrical Engineering,DL3,Admit
100089,100532,Electrical Engineering,DL3,Applied
100089,100326,Electrical Engineering,DL3,Applied
100090,100505,Business Ethics,DL2,Reject
100090,100355,Business Ethics,DL2,Admit
100090,100345,Business Ethics,DL2,Reject
100090,1001034,Business Ethics,DL2,Applied
100091,100420,Data Science,DL1,Reject
100091,1001123,Data Science,DL1,Reject
100092,100807,Information Systems,DL2,Reject
100092,1001070,Information Systems,DL2,Admit
100092,100123,Information Systems,DL2,Reject
100093,100898,Organizational Behavior,DL2,Applied
100093,100597,Organizational Behavior,DL2,Reject
100094,100916,Mathematics,DL3,Applied
100094,100841,Mathematics,DL3,Admit
100095,100632,Entrepreneurship,DL2,Applied
100095,100893,Entrepreneurship,DL2,Admit
100095,100488,Entrepreneurship,DL2,Reject
100096,100326,Aerospace Engineering,DL3,Reject
100096,1001243,Aerospace Engineering,DL3,Applied
100096,100597,Aerospace Engineering,DL3,Reject
100096,1001104,Aerospace Engineering,DL3,Admit
100097,100796,Philosophy,DL3,Reject
100097,100225,Philosophy,DL3,Admit
100098,100291,Business Ethics,DL2,Admit
100098,100433,Business Ethics,DL2,Applied
100098,100834,Business Ethics,DL2,Reject
100099,1001294,Information Technology,DL3,Applied
100099,100327,Information Technology,DL3,Applied
100099,1001047,Information Technology,DL3,Admit
100099,100225,Information Technology,DL3,Applied
1000100,100141,Civil Engineering,DL1,Applied
1000100,1001183,Civil Engineering,DL1,Applied
1000100,100990,Civil Engineering,DL1,Reject
1000101,1001296,Mathematics,DL1,Admit
1000101,1001290,Mathematics,DL1,Reject
1000101,100286,Mathematics,DL1,Admit
1000102,100956,Strategic Management,DL2,Admit
1000102,100937,Strategic Management,DL2,Admit
1000103,1001177,Statistics,DL1,Applied
1000103,100286,Statistics,DL1,Applied
1000104,1001071,Computer Science,DL3,Admit
1000104,1001043,Computer Science,DL3,Applied
1000105,1001058,Data Science,DL1,Applied
1000105,100197,Data Science,DL1,Admit
1000105,100313,Data Science,DL1,Applied
1000106,100200,Aerospace Engineering,DL1,Admit
1000106,1001148,Aerospace Engineering,DL1,Admit
1000106,100513,Aerospace Engineering,DL1,Admit
1000107,100956,Leadership and Management,DL2,Applied
1000107,10090,Leadership and Management,DL2,Admit
1000107,100185,Leadership and Management,DL2,Reject
1000107,1001077,Leadership and Management,DL2,Applied
1000108,1001237,Financial Accounting,DL2,Admit
1000108,1001205,Financial Accounting,DL2,Applied
1000108,1001291,Financial Accounting,DL2,Admit
1000108,100947,Financial Accounting,DL2,Admit
1000109,100515,Computer Science,DL3,Applied
1000109,1008,Computer Science,DL3,Reject
1000109,100378,Computer Science,DL3,Applied
1000109,1001121,Computer Science,DL3,Reject
1000109,1001177,Computer Science,DL3,Applied
1000110,10049,Philosophy,DL3,Reject
1000110,100433,Philosophy,DL3,Applied
1000110,100102,Philosophy,DL3,Admit
1000110,100642,Philosophy,DL3,Applied
1000110,100330,Philosophy,DL3,Applied
1000111,100601,Mechanical Engineering,DL1,Admit
1000111,100240,Mechanical Engineering,DL1,Applied
1000111,1001265,Mechanical Engineering,DL1,Admit
1000111,1001295,Mechanical Engineering,DL1,Reject
1000111,1001285,Mechanical Engineering,DL1,Applied
1000112,1001177,Computer Science,DL3,Applied
1000112,100879,Computer Science,DL3,Applied
1000112,1001031,Computer Science,DL3,Admit
1000112,100508,Computer Science,DL3,Reject
1000113,1001291,Information Technology,DL3,Admit
1000113,100761,Information Technology,DL3,Reject
1000113,1001122,Information Technology,DL3,Admit
1000114,1001294,Cost Accounting,DL2,Reject
1000114,100751,Cost Accounting,DL2,Applied
1000115,1001155,Operations Management,DL2,Reject
1000115,100116,Operations Management,DL2,Applied
1000115,100515,Operations Management,DL2,Applied
1000116,100197,Information Technology,DL3,Admit
1000116,100562,Information Technology,DL3,Applied
1000116,100870,Information Technology,DL3,Applied
1000116,100481,Information Technology,DL3,Reject
1000117,100225,Anthropology,DL3,Applied
1000117,1001272,Anthropology,DL3,Applied
1000117,1001172,Anthropology,DL3,Applied
1000118,1001215,Operations Management,DL2,Applied
1000118,1001125,Operations Management,DL2,Applied
1000118,1001175,Operations Management,DL2,Applied
1000118,1001236,Operations Management,DL2,Admit
1000119,1008,Civil Engineering,DL3,Admit
1000119,100407,Civil Engineering,DL3,Reject
1000120,1001001,Electrical Engineering,DL1,Applied
1000120,1001292,Electrical Engineering,DL1,Reject
1000120,1001058,Electrical Engineering,DL1,Admit
1000120,100311,Electrical Engineering,DL1,Reject
1000120,100909,Electrical Engineering,DL1,Admit
1000121,100779,Project Management,DL2,Applied
1000121,100666,Project Management,DL2,Reject
1000121,100598,Project Management,DL2,Applied
1000121,100326,Project Management,DL2,Reject
1000121,100327,Project Management,DL2,Admit
1000122,100773,Data Science,DL3,Admit
1000122,10011,Data Science,DL3,Reject
1000122,1001132,Data Science,DL3,Applied
1000122,1001285,Data Science,DL3,Reject
1000122,100441,Data Science,DL3,Admit
1000123,100904,Computer Science,DL1,Admit
1000123,1001211,Computer Science,DL1,Reject
1000123,1001152,Computer Science,DL1,Reject
1000123,100554,Computer Science,DL1,Reject
1000124,1001109,Data Science,DL1,Admit
1000124,100942,Data Science,DL1,Reject
1000124,100848,Data Science,DL1,Applied
1000125,100400,Entrepreneurship,DL2,Admit
1000125,1001127,Entrepreneurship,DL2,Applied
1000125,100268,Entrepreneurship,DL2,Admit
1000125,1001002,Entrepreneurship,DL2,Applied
1000126,100149,Philosophy,DL3,Admit
1000126,1001196,Philosophy,DL3,Reject
1000126,100691,Philosophy,DL3,Applied
1000127,100296,Environmental Science,DL3,Applied
1000127,100243,Environmental Science,DL3,Admit
1000127,100754,Environmental Science,DL3,Admit
1000128,100918,Finance,DL3,Reject
1000128,100251,Finance,DL3,Applied
1000128,1001164,Finance,DL3,Reject
1000129,100899,Organizational Behavior,DL2,Applied
1000129,100884,Organizational Behavior,DL2,Applied
1000129,100375,Organizational Behavior,DL2,Applied
1000130,100795,Psychology,DL3,Admit
1000130,100576,Psychology,DL3,Reject
1000130,100834,Psychology,DL3,Applied
1000130,100369,Psychology,DL3,Admit
1000130,100490,Psychology,DL3,Reject
1000131,10011,Education,DL3,Applied
1000131,1001228,Education,DL3,Admit
1000131,100595,Education,DL3,Reject
1000131,1001154,Education,DL3,Admit
1000131,100597,Education,DL3,Reject
1000132,100369,Statistics,DL1,Reject
1000132,1001272,Statistics,DL1,Applied
1000132,100258,Statistics,DL1,Admit
1000132,100967,Statistics,DL1,Applied
1000132,100251,Statistics,DL1,Applied
1000133,100526,Computer Science,DL1,Applied
1000133,100326,Computer Science,DL1,Applied
1000133,100576,Computer Science,DL1,Admit
1000133,100623,Computer Science,DL1,Applied
1000133,1001175,Computer Science,DL1,Admit
1000134,1001158,Electrical Engineering,DL1,Reject
1000134,100216,Electrical Engineering,DL1,Admit
1000134,100302,Electrical Engineering,DL1,Admit
1000134,1001150,Electrical Engineering,DL1,Admit
1000134,1001272,Electrical Engineering,DL1,Admit
1000135,100574,Business Analytics,DL3,Reject
1000135,100779,Business Analytics,DL3,Reject
1000135,100779,Business Analytics,DL3,Reject
1000135,100724,Business Analytics,DL3,Reject
1000135,100935,Business Analytics,DL3,Applied
1000136,1001242,Organizational Behavior,DL2,Admit
1000136,100908,Organizational Behavior,DL2,Applied
1000136,100834,Organizational Behavior,DL2,Applied
1000136,100717,Organizational Behavior,DL2,Applied
1000137,100327,Biomedical Engineering,DL3,Admit
1000137,100642,Biomedical Engineering,DL3,Applied
1000137,100471,Biomedical Engineering,DL3,Applied
1000138,100570,Finance,DL3,Applied
1000138,100647,Finance,DL3,Admit
1000139,1001168,Operations Management,DL2,Reject
1000139,100998,Operations Management,DL2,Applied
1000140,100779,Mechanical Engineering,DL1,Admit
1000141,100473,Cost Accounting,DL2,Applied
1000141,100426,Cost Accounting,DL2,Applied
1000142,100659,Civil Engineering,DL1,Reject
1000142,100380,Civil Engineering,DL1,Applied
1000143,100407,Computer Science,DL3,Applied
1000143,100606,Computer Science,DL3,Applied
1000143,100941,Computer Science,DL3,Admit
1000143,100990,Computer Science,DL3,Admit
1000143,100225,Computer Science,DL3,Applied
1000144,100957,Political Science,DL3,Reject
1000144,1001001,Political Science,DL3,Applied
1000144,1001175,Political Science,DL3,Admit
1000144,1001272,Political Science,DL3,Reject
1000145,1001272,Biology,DL3,Applied
1000145,100435,Biology,DL3,Applied
1000146,100459,Accounting,DL3,Admit
1000146,100103,Accounting,DL3,Admit
1000147,100751,Education,DL3,Applied
1000147,100898,Education,DL3,Reject
1000147,100920,Education,DL3,Reject
1000148,1001252,Information Technology,DL1,Applied
1000148,100956,Information Technology,DL1,Applied
1000148,100597,Information Technology,DL1,Admit
1000149,100918,Anthropology,DL3,Admit
1000149,100998,Anthropology,DL3,Reject
1000149,100519,Anthropology,DL3,Applied
1000149,100754,Anthropology,DL3,Admit
1000150,100653,Leadership and Management,DL2,Applied
1000150,10045,Leadership and Management,DL2,Reject
1000151,1001013,Aerospace Engineering,DL3,Admit
1000151,1001125,Aerospace Engineering,DL3,Reject
1000151,100424,Aerospace Engineering,DL3,Reject
1000151,1001269,Aerospace Engineering,DL3,Applied
1000152,100918,Aerospace Engineering,DL3,Admit
1000152,100516,Aerospace Engineering,DL3,Applied
1000152,10034,Aerospace Engineering,DL3,Admit
1000152,1001237,Aerospace Engineering,DL3,Applied
1000152,100342,Aerospace Engineering,DL3,Admit
1000153,100825,Civil Engineering,DL3,Applied
1000153,100597,Civil Engineering,DL3,Applied
1000153,1001260,Civil Engineering,DL3,Applied
1000153,100274,Civil Engineering,DL3,Applied
1000153,100369,Civil Engineering,DL3,Reject
1000154,1001076,Information Technology,DL3,Reject
1000154,1001007,Information Technology,DL3,Reject
1000154,100149,Information Technology,DL3,Applied
1000155,100921,Quantitative Analysis for Business,DL2,Admit
1000155,100763,Quantitative Analysis for Business,DL2,Applied
1000155,1001294,Quantitative Analysis for Business,DL2,Admit
1000156,10011,Business Communication,DL2,Applied
1000156,1001291,Business Communication,DL2,Admit
1000156,100236,Business Communication,DL2,Reject
1000157,100647,Aerospace Engineering,DL1,Reject
1000157,100640,Aerospace Engineering,DL1,Applied
1000157,100123,Aerospace Engineering,DL1,Reject
1000158,1001272,Mechanical Engineering,DL3,Reject
1000158,100601,Mechanical Engineering,DL3,Applied
1000159,100844,Project Management,DL2,Applied
1000159,100316,Project Management,DL2,Applied
1000160,100933,Business Communication,DL2,Applied
1000161,1001039,Aerospace Engineering,DL1,Applied
1000162,1001259,Strategic Management,DL2,Admit
1000163,100441,Information Systems,DL2,Admit
1000163,100370,Information Systems,DL2,Applied
1000163,100727,Information Systems,DL2,Reject
1000164,100601,Information Technology,DL3,Applied
1000164,1001294,Information Technology,DL3,Reject
1000164,1001291,Information Technology,DL3,Reject
1000165,100326,Statistics,DL1,Applied
1000165,10011,Statistics,DL1,Reject
1000165,100251,Statistics,DL1,Admit
1000165,100751,Statistics,DL1,Admit
1000166,1001300,Philosophy,DL3,Reject
1000166,1001168,Philosophy,DL3,Reject
1000166,1001109,Philosophy,DL3,Applied
1000166,10081,Philosophy,DL3,Applied
1000166,1001275,Philosophy,DL3,Applied
1000167,100555,Aerospace Engineering,DL1,Reject
1000167,100947,Aerospace Engineering,DL1,Reject
1000167,100441,Aerospace Engineering,DL1,Admit
1000168,1001294,Civil Engineering,DL1,Admit
1000168,100876,Civil Engineering,DL1,Admit
1000168,1001172,Civil Engineering,DL1,Applied
1000169,1001127,Finance,DL3,Admit
1000169,100655,Finance,DL3,Reject
1000170,100907,Business Communication,DL2,Reject
1000170,1001158,Business Communication,DL2,Applied
1000171,100267,Electrical Engineering,DL3,Reject
1000171,100387,Electrical Engineering,DL3,Reject
1000172,100345,Biomedical Engineering,DL1,Applied
1000172,100918,Biomedical Engineering,DL1,Admit
1000172,100548,Biomedical Engineering,DL1,Admit
1000172,100142,Biomedical Engineering,DL1,Applied
1000172,1001056,Biomedical Engineering,DL1,Applied
1000173,100626,Marketing Management,DL2,Applied
1000173,100360,Marketing Management,DL2,Applied
1000173,1001071,Marketing Management,DL2,Applied
1000173,100286,Marketing Management,DL2,Reject
1000174,10058,Quantitative Analysis for Business,DL2,Reject
1000174,100369,Quantitative Analysis for Business,DL2,Admit
1000174,10068,Quantitative Analysis for Business,DL2,Admit
1000174,100749,Quantitative Analysis for Business,DL2,Admit
1000175,100777,Data Science,DL3,Applied
1000175,1001097,Data Science,DL3,Applied
1000175,100197,Data Science,DL3,Applied
1000175,100843,Data Science,DL3,Admit
1000176,100508,Information Systems,DL2,Applied
1000176,1001172,Information Systems,DL2,Applied
1000176,100909,Information Systems,DL2,Applied
1000176,1001054,Information Systems,DL2,Reject
1000177,1001017,Philosophy,DL3,Applied
1000177,100377,Philosophy,DL3,Applied
1000177,100585,Philosophy,DL3,Applied
1000177,100251,Philosophy,DL3,Reject
1000178,10017,Entrepreneurship,DL2,Applied
1000178,100811,Entrepreneurship,DL2,Reject
1000178,100884,Entrepreneurship,DL2,Applied
1000179,100923,Information Technology,DL3,Reject
1000179,100225,Information Technology,DL3,Admit
1000179,100341,Information Technology,DL3,Admit
1000180,100290,Mechanical Engineering,DL1,Admit
1000180,1001257,Mechanical Engineering,DL1,Admit
1000180,100403,Mechanical Engineering,DL1,Reject
1000181,100756,Electrical Engineering,DL1,Applied
1000181,1001211,Electrical Engineering,DL1,Reject
1000181,1001242,Electrical Engineering,DL1,Reject
1000182,100471,Computer Science,DL1,Applied
1000182,1001228,Computer Science,DL1,Reject
1000183,1001244,Financial Accounting,DL2,Admit
1000183,10033,Financial Accounting,DL2,Admit
1000184,1001175,Mechanical Engineering,DL3,Admit
1000184,1001163,Mechanical Engineering,DL3,Reject
1000184,1001070,Mechanical Engineering,DL3,Reject
1000185,100235,Mathematics,DL1,Applied
1000185,100774,Mathematics,DL1,Reject
1000186,100322,Statistics,DL1,Applied
1000186,1001154,Statistics,DL1,Admit
1000186,100957,Statistics,DL1,Admit
1000186,100148,Statistics,DL1,Applied
1000187,1001164,Information Systems,DL2,Applied
1000187,100657,Information Systems,DL2,Reject
1000187,100300,Information Systems,DL2,Admit
1000188,10056,Mathematics,DL3,Applied
1000188,100247,Mathematics,DL3,Applied
1000188,100597,Mathematics,DL3,Applied
1000188,1001126,Mathematics,DL3,Reject
1000188,100225,Mathematics,DL3,Reject
1000189,1001259,Electrical Engineering,DL3,Admit
1000189,100682,Electrical Engineering,DL3,Applied
1000189,100444,Electrical Engineering,DL3,Applied
1000189,100111,Electrical Engineering,DL3,Admit
1000189,1001069,Electrical Engineering,DL3,Reject
1000190,1001260,Entrepreneurship,DL2,Applied
1000190,100448,Entrepreneurship,DL2,Applied
1000190,1001046,Entrepreneurship,DL2,Admit
1000190,1001011,Entrepreneurship,DL2,Applied
1000190,1001089,Entrepreneurship,DL2,Admit
1000191,100623,Data Science,DL1,Admit
1000191,100233,Data Science,DL1,Applied
1000191,1001102,Data Science,DL1,Applied
1000191,1001182,Data Science,DL1,Admit
1000191,100225,Data Science,DL1,Applied
1000192,100472,International Business,DL2,Admit
1000192,10079,International Business,DL2,Reject
1000192,100470,International Business,DL2,Applied
1000192,10081,International Business,DL2,Reject
1000192,100121,International Business,DL2,Applied
1000193,100909,Economics for Business,DL2,Reject
1000193,100597,Economics for Business,DL2,Applied
1000193,1001001,Economics for Business,DL2,Reject
1000193,100470,Economics for Business,DL2,Reject
1000193,1001248,Economics for Business,DL2,Reject
1000194,100329,Biomedical Engineering,DL1,Admit
1000194,100386,Biomedical Engineering,DL1,Applied
